SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.264382897855098609e-02
-9.000000000000000000e+00,1.264382897855098435e-02
-8.000000000000000000e+00,1.264382897855098609e-02
-7.000000000000000000e+00,1.264382897855098609e-02
-6.000000000000000000e+00,1.264382897855098609e-02
-5.000000000000000000e+00,1.264382897855098435e-02
-4.000000000000000000e+00,1.265642612663569339e-02
-3.000000000000000000e+00,1.258746912739259344e-02
-2.000000000000000000e+00,1.248887430579359928e-02
-1.000000000000000000e+00,1.229565126976991420e-02
0.000000000000000000e+00,1.322422554924453791e-02
1.000000000000000000e+00,1.318855493613501316e-02
2.000000000000000000e+00,1.305658171149253963e-02
3.000000000000000000e+00,1.300500925040640882e-02
4.000000000000000000e+00,1.325154804883306968e-02
5.000000000000000000e+00,1.322357282592821238e-02
6.000000000000000000e+00,1.321181003708262955e-02
7.000000000000000000e+00,1.330302568644852780e-02
8.000000000000000000e+00,1.327358966582606326e-02
9.000000000000000000e+00,1.312053538991374627e-02
1.000000000000000000e+01,1.311017383883472144e-02
1.100000000000000000e+01,1.309880496646332118e-02
1.200000000000000000e+01,1.312323586881866504e-02
1.300000000000000000e+01,1.310989229039237827e-02
1.400000000000000000e+01,1.310855028826131766e-02
1.500000000000000000e+01,1.311989642036572208e-02
1.600000000000000000e+01,1.311578646586112652e-02
1.700000000000000000e+01,1.310507515515395467e-02
1.800000000000000000e+01,1.307378433837086754e-02
1.900000000000000000e+01,1.307052946196409111e-02
2.000000000000000000e+01,1.306833727930329335e-02
2.100000000000000000e+01,1.306633248840465347e-02
2.200000000000000000e+01,1.306104742179692302e-02
2.300000000000000000e+01,1.304677011758338320e-02
2.400000000000000000e+01,1.304496981691811996e-02
