SNR_dB,RMSE_cfo
-1.000000000000000000e+01,7.548315246919262700e-02
-9.000000000000000000e+00,7.548315246919262700e-02
-8.000000000000000000e+00,7.548315246919261312e-02
-7.000000000000000000e+00,7.548315246919262700e-02
-6.000000000000000000e+00,7.548315246919262700e-02
-5.000000000000000000e+00,7.548315246919261312e-02
-4.000000000000000000e+00,7.548315246919261312e-02
-3.000000000000000000e+00,7.548315246919264088e-02
-2.000000000000000000e+00,7.667764751869730888e-02
-1.000000000000000000e+00,7.677613950202984150e-02
0.000000000000000000e+00,6.425828605708504282e-02
1.000000000000000000e+00,2.238631819668988193e-02
2.000000000000000000e+00,5.969844403777777031e-03
3.000000000000000000e+00,5.459427077662367192e-03
4.000000000000000000e+00,4.841979409676914516e-03
5.000000000000000000e+00,4.232871788885267036e-03
6.000000000000000000e+00,3.726640860814978140e-03
7.000000000000000000e+00,3.223798568121211908e-03
8.000000000000000000e+00,2.820220735993541304e-03
9.000000000000000000e+00,2.485778807893159609e-03
1.000000000000000000e+01,2.230246567949093969e-03
1.100000000000000000e+01,1.969947147558869308e-03
1.200000000000000000e+01,1.742451802085045630e-03
1.300000000000000000e+01,1.551774891697611271e-03
1.400000000000000000e+01,1.375130358370197465e-03
1.500000000000000000e+01,1.206513897103207895e-03
1.600000000000000000e+01,1.070659518771824390e-03
1.700000000000000000e+01,9.598768567762831902e-04
1.800000000000000000e+01,8.491667970253934323e-04
1.900000000000000000e+01,7.532505320297468773e-04
2.000000000000000000e+01,6.698868813215254868e-04
2.100000000000000000e+01,5.959195525256241960e-04
2.200000000000000000e+01,5.302471996373919793e-04
2.300000000000000000e+01,4.719081378054086270e-04
2.400000000000000000e+01,4.200600983136767931e-04
