;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.819,0.081399
1,-0.818,0.081399
2,-0.817,0.081399
3,-0.816,0.081399
4,-0.815,0.081399
5,-0.814,0.081399
6,-0.813,0.081399
7,-0.812,0.081399
8,-0.811,0.081399
9,-0.81,0.081399
10,-0.809,0.081399
11,-0.808,0.081399
12,-0.807,0.081399
13,-0.806,0.081399
14,-0.805,0.081399
15,-0.804,0.081399
16,-0.803,0.081399
17,-0.802,0.081399
18,-0.801,0.081399
19,-0.8,0.081399
20,-0.799,0.081399
21,-0.798,0.081399
22,-0.797,0.081399
23,-0.796,0.081399
24,-0.795,0.081399
25,-0.794,0.081399
26,-0.793,0.081399
27,-0.792,0.081399
28,-0.791,0.081399
29,-0.79,0.081399
30,-0.789,0.081399
31,-0.788,0.081399
32,-0.787,0.081399
33,-0.786,0.081399
34,-0.785,0.081399
35,-0.784,0.081399
36,-0.783,0.081399
37,-0.782,0.081399
38,-0.781,0.081399
39,-0.78,0.081399
40,-0.779,0.081399
41,-0.778,0.081399
42,-0.777,0.081399
43,-0.776,0.081399
44,-0.775,0.081399
45,-0.774,0.081399
46,-0.773,0.081399
47,-0.772,0.081399
48,-0.771,0.081399
49,-0.77,0.081399
50,-0.769,0.081399
51,-0.768,0.081399
52,-0.767,0.081399
53,-0.766,0.081399
54,-0.765,0.081399
55,-0.764,0.081399
56,-0.763,0.081399
57,-0.762,0.081399
58,-0.761,0.081399
59,-0.76,0.081399
60,-0.759,0.081399
61,-0.758,0.081399
62,-0.757,0.081399
63,-0.756,0.081399
64,-0.755,0.081399
65,-0.754,0.081399
66,-0.753,0.081399
67,-0.752,0.081399
68,-0.751,0.081399
69,-0.75,0.081399
70,-0.749,0.081399
71,-0.748,0.081399
72,-0.747,0.081399
73,-0.746,0.081399
74,-0.745,0.081399
75,-0.744,0.081399
76,-0.743,0.081399
77,-0.742,0.081399
78,-0.741,0.081399
79,-0.74,0.081399
80,-0.739,0.081399
81,-0.738,0.081399
82,-0.737,0.081399
83,-0.736,0.081399
84,-0.735,0.081399
85,-0.734,0.081399
86,-0.733,0.081399
87,-0.732,0.081399
88,-0.731,0.081399
89,-0.73,0.081399
90,-0.729,0.081399
91,-0.728,0.081399
92,-0.727,0.081399
93,-0.726,0.081399
94,-0.725,0.081399
95,-0.724,0.081399
96,-0.723,0.081399
97,-0.722,0.081399
98,-0.721,0.081399
99,-0.72,0.081399
100,-0.719,0.081399
101,-0.718,0.081399
102,-0.717,0.081399
103,-0.716,0.081399
104,-0.715,0.081399
105,-0.714,0.081399
106,-0.713,0.081399
107,-0.712,0.081399
108,-0.711,0.081399
109,-0.71,0.081399
110,-0.709,0.081399
111,-0.708,0.081399
112,-0.707,0.081399
113,-0.706,0.081399
114,-0.705,0.081399
115,-0.704,0.081399
116,-0.703,0.081399
117,-0.702,0.081399
118,-0.701,0.081399
119,-0.7,0.081399
120,-0.699,0.081399
121,-0.698,0.081399
122,-0.697,0.081399
123,-0.696,0.081399
124,-0.695,0.081399
125,-0.694,0.081399
126,-0.693,0.081399
127,-0.692,0.081399
128,-0.691,0.081399
129,-0.69,0.081399
130,-0.689,0.081399
131,-0.688,0.081399
132,-0.687,0.081399
133,-0.686,0.081399
134,-0.685,0.081399
135,-0.684,0.081399
136,-0.683,0.081399
137,-0.682,0.081399
138,-0.681,0.081399
139,-0.68,0.081399
140,-0.679,0.081399
141,-0.678,0.081399
142,-0.677,0.081399
143,-0.676,0.081399
144,-0.675,0.081399
145,-0.674,0.081399
146,-0.673,0.081399
147,-0.672,0.081399
148,-0.671,0.081399
149,-0.67,0.081399
150,-0.669,0.081399
151,-0.668,0.081399
152,-0.667,0.081399
153,-0.666,0.081399
154,-0.665,0.081399
155,-0.664,0.081399
156,-0.663,0.081399
157,-0.662,0.081399
158,-0.661,0.081399
159,-0.66,0.081399
160,-0.659,0.081399
161,-0.658,0.081399
162,-0.657,0.081399
163,-0.656,0.081399
164,-0.655,0.081399
165,-0.654,0.081399
166,-0.653,0.081399
167,-0.652,0.081399
168,-0.651,0.081399
169,-0.65,0.081399
170,-0.649,0.081399
171,-0.648,0.081399
172,-0.647,0.081399
173,-0.646,0.081399
174,-0.645,0.081399
175,-0.644,0.081399
176,-0.643,0.081399
177,-0.642,0.081399
178,-0.641,0.081399
179,-0.64,0.081399
