;Scopy version,f4beeb1
;Exported on,mardi décembre 17/12/2024
;Device,M2K
;Nr of samples,16937
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,0,-0.0399936,-0.0415663
1,0.001,-0.0399936,-0.0415663
2,0.002,-0.0399936,-0.0415663
3,0.003,-0.0399936,-0.0415663
4,0.004,-0.0399936,-0.0415663
5,0.005,-0.0399936,-0.0415663
6,0.006,-0.0399936,-0.0415663
7,0.007,-0.0399936,-0.0415663
8,0.008,-0.0399936,-0.0415663
9,0.009,-0.0399936,-0.0415663
10,0.01,-0.0399936,-0.0415663
11,0.011,-0.0399936,-0.0415663
12,0.012,-0.0399936,-0.0415663
13,0.013,-0.0399936,-0.0415663
14,0.014,-0.0399936,-0.0415663
15,0.015,-0.0399936,-0.0415663
16,0.016,-0.0399936,-0.0415663
17,0.017,-0.0399936,-0.0415663
18,0.018,-0.0399936,-0.0415663
19,0.019,-0.0399936,-0.0415663
20,0.02,-0.0399936,-0.0415663
21,0.021,-0.0399936,-0.0415663
22,0.022,-0.0399936,-0.0415663
23,0.023,-0.0399936,-0.0415663
24,0.024,-0.0399936,-0.0415663
25,0.025,-0.0399936,-0.0415663
26,0.026,-0.0399936,-0.0415663
27,0.027,-0.0399936,-0.0415663
28,0.028,-0.0399936,-0.0415663
29,0.029,-0.0399936,-0.0415663
30,0.03,-0.0399936,-0.0415663
31,0.031,-0.0399936,-0.0415663
32,0.032,-0.0399936,-0.0415663
33,0.033,-0.0399936,-0.0415663
34,0.034,-0.0399936,-0.0415663
35,0.035,-0.0399936,-0.0415663
36,0.036,-0.0399936,-0.0415663
37,0.037,-0.0399936,-0.0415663
38,0.038,-0.0399936,-0.0415663
39,0.039,-0.0399936,-0.0415663
40,0.04,-0.0399936,-0.0415663
41,0.041,-0.0399936,-0.0415663
42,0.042,-0.0399936,-0.0415663
43,0.043,-0.0399936,-0.0415663
44,0.044,-0.0399936,-0.0415663
45,0.045,-0.0399936,-0.0415663
46,0.046,-0.0399936,-0.0415663
47,0.047,-0.0399936,-0.0415663
48,0.048,-0.0399936,-0.0415663
49,0.049,-0.0399936,-0.0415663
50,0.05,-0.0399936,-0.0415663
51,0.051,-0.0399936,-0.0415663
52,0.052,-0.0399936,-0.0415663
53,0.053,-0.0399936,-0.0415663
54,0.054,-0.0399936,-0.0415663
55,0.055,-0.0399936,-0.0415663
56,0.056,-0.0399936,-0.0415663
57,0.057,-0.0399936,-0.0415663
58,0.058,-0.0399936,-0.0415663
59,0.059,-0.0399936,-0.0415663
60,0.06,-0.0399936,-0.0415663
61,0.061,-0.0399936,-0.0415663
62,0.062,-0.0399936,-0.0415663
63,0.063,-0.0399936,-0.0415663
64,0.064,-0.0399936,-0.0415663
