;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.835,0.0173885
1,-0.834,0.0173885
2,-0.833,0.0173885
3,-0.832,0.0173885
4,-0.831,0.0173885
5,-0.83,0.0173885
6,-0.829,0.0173885
7,-0.828,0.0173885
8,-0.827,0.0173885
9,-0.826,0.0173885
10,-0.825,0.0173885
11,-0.824,0.0173885
12,-0.823,0.0173885
13,-0.822,0.0173885
14,-0.821,0.0173885
15,-0.82,0.0173885
16,-0.819,0.0173885
17,-0.818,0.0173885
18,-0.817,0.0173885
19,-0.816,0.0173885
20,-0.815,0.0173885
21,-0.814,0.0173885
22,-0.813,0.0173885
23,-0.812,0.0173885
24,-0.811,0.0173885
25,-0.81,0.0173885
26,-0.809,0.0173885
27,-0.808,0.0173885
28,-0.807,0.0173885
29,-0.806,0.0173885
30,-0.805,0.0173885
31,-0.804,0.0173885
32,-0.803,0.0173885
33,-0.802,0.0173885
34,-0.801,0.0173885
35,-0.8,0.0173885
36,-0.799,0.0173885
37,-0.798,0.0173885
38,-0.797,0.0173885
39,-0.796,0.0173885
40,-0.795,0.0173885
41,-0.794,0.0173885
42,-0.793,0.0173885
43,-0.792,0.0173885
44,-0.791,0.0173885
45,-0.79,0.0173885
46,-0.789,0.0173885
47,-0.788,0.0173885
48,-0.787,0.0173885
49,-0.786,0.0173885
50,-0.785,0.0173885
51,-0.784,0.0173885
52,-0.783,0.0173885
53,-0.782,0.0173885
54,-0.781,0.0173885
55,-0.78,0.0173885
56,-0.779,0.0173885
57,-0.778,0.0173885
58,-0.777,0.0173885
59,-0.776,0.0173885
60,-0.775,0.0173885
61,-0.774,0.0173885
62,-0.773,0.0173885
63,-0.772,0.0173885
64,-0.771,0.0173885
65,-0.77,0.0173885
66,-0.769,0.0173885
67,-0.768,0.0173885
68,-0.767,0.0173885
69,-0.766,0.0173885
70,-0.765,0.0173885
71,-0.764,0.0173885
72,-0.763,0.0173885
73,-0.762,0.0173885
74,-0.761,0.0173885
75,-0.76,0.0173885
76,-0.759,0.0173885
77,-0.758,0.0173885
78,-0.757,0.0173885
79,-0.756,0.0173885
80,-0.755,0.0173885
81,-0.754,0.0173885
82,-0.753,0.0173885
83,-0.752,0.0173885
84,-0.751,0.0173885
85,-0.75,0.0173885
86,-0.749,0.0173885
87,-0.748,0.0173885
88,-0.747,0.0173885
89,-0.746,0.0173885
90,-0.745,0.0173885
91,-0.744,0.0173885
92,-0.743,0.0173885
93,-0.742,0.0173885
94,-0.741,0.0173885
95,-0.74,0.0173885
96,-0.739,0.0173885
97,-0.738,0.0173885
98,-0.737,0.0173885
99,-0.736,0.0173885
100,-0.735,0.0173885
101,-0.734,0.0173885
102,-0.733,0.0173885
103,-0.732,0.0173885
104,-0.731,0.0173885
105,-0.73,0.0173885
106,-0.729,0.0173885
107,-0.728,0.0173885
108,-0.727,0.0173885
109,-0.726,0.0173885
110,-0.725,0.0173885
111,-0.724,0.0173885
112,-0.723,0.0173885
113,-0.722,0.0173885
114,-0.721,0.0173885
115,-0.72,0.0173885
116,-0.719,0.0173885
117,-0.718,0.0173885
118,-0.717,0.0173885
119,-0.716,0.0173885
120,-0.715,0.0173885
121,-0.714,0.0173885
122,-0.713,0.0173885
123,-0.712,0.0173885
124,-0.711,0.0173885
125,-0.71,0.0173885
126,-0.709,0.0173885
127,-0.708,0.0173885
128,-0.707,0.0173885
129,-0.706,0.0173885
130,-0.705,0.0173885
131,-0.704,0.0173885
132,-0.703,0.0173885
133,-0.702,0.0173885
134,-0.701,0.0173885
135,-0.7,0.0173885
136,-0.699,0.0173885
137,-0.698,0.0173885
138,-0.697,0.0173885
139,-0.696,0.0173885
140,-0.695,0.0173885
141,-0.694,0.0173885
142,-0.693,0.0173885
143,-0.692,0.0173885
144,-0.691,0.0173885
145,-0.69,0.0173885
146,-0.689,0.0173885
147,-0.688,0.0173885
148,-0.687,0.0173885
149,-0.686,0.0173885
150,-0.685,0.0173885
151,-0.684,0.0173885
152,-0.683,0.0173885
153,-0.682,0.0173885
154,-0.681,0.0173885
155,-0.68,0.0173885
156,-0.679,0.0173885
157,-0.678,0.0173885
158,-0.677,0.0173885
159,-0.676,0.0173885
160,-0.675,0.0173885
161,-0.674,0.0173885
162,-0.673,0.0173885
163,-0.672,0.0173885
164,-0.671,0.0173885
165,-0.67,0.0173885
166,-0.669,0.0173885
167,-0.668,0.0173885
168,-0.667,0.0173885
169,-0.666,0.0173885
170,-0.665,0.0173885
171,-0.664,0.0173885
172,-0.663,0.0173885
173,-0.662,0.0173885
174,-0.661,0.0173885
175,-0.66,0.0173885
176,-0.659,0.0173885
177,-0.658,0.0173885
178,-0.657,0.0173885
179,-0.656,0.0173885
180,-0.655,0.0173885
181,-0.654,0.0173885
182,-0.653,0.0173885
183,-0.652,0.0173885
184,-0.651,0.0173885
185,-0.65,0.0173885
186,-0.649,0.0173885
187,-0.648,0.0173885
188,-0.647,0.0173885
189,-0.646,0.0173885
190,-0.645,0.0173885
191,-0.644,0.0173885
192,-0.643,0.0173885
193,-0.642,0.0173885
194,-0.641,0.0173885
195,-0.64,0.0173885
196,-0.639,0.0173885
197,-0.638,0.0173885
198,-0.637,0.0173885
199,-0.636,0.0173885
200,-0.635,0.0173885
201,-0.634,0.0173885
202,-0.633,0.0173885
203,-0.632,0.0173885
204,-0.631,0.0173885
205,-0.63,0.0173885
206,-0.629,0.0173885
207,-0.628,0.0173885
208,-0.627,0.0173885
209,-0.626,0.0173885
210,-0.625,0.0173885
211,-0.624,0.0173885
212,-0.623,0.0173885
213,-0.622,0.0173885
214,-0.621,0.0173885
215,-0.62,0.0173885
216,-0.619,0.0173885
217,-0.618,0.0173885
218,-0.617,0.0173885
219,-0.616,0.0173885
220,-0.615,0.0173885
221,-0.614,0.0173885
222,-0.613,0.0173885
223,-0.612,0.0173885
224,-0.611,0.0173885
225,-0.61,0.0173885
226,-0.609,0.0173885
227,-0.608,0.0173885
228,-0.607,0.0173885
229,-0.606,0.0173885
230,-0.605,0.0173885
231,-0.604,0.0173885
232,-0.603,0.0173885
233,-0.602,0.0173885
234,-0.601,0.0173885
235,-0.6,0.0173885
236,-0.599,0.0173885
237,-0.598,0.0173885
238,-0.597,0.0173885
239,-0.596,0.0173885
240,-0.595,0.0173885
241,-0.594,0.0173885
242,-0.593,0.0173885
243,-0.592,0.0173885
244,-0.591,0.0173885
245,-0.59,0.0173885
246,-0.589,0.0173885
247,-0.588,0.0173885
248,-0.587,0.0173885
249,-0.586,0.0173885
250,-0.585,0.0173885
251,-0.584,0.0173885
252,-0.583,0.0173885
253,-0.582,0.0173885
254,-0.581,0.0173885
255,-0.58,0.0173885
256,-0.579,0.0173885
257,-0.578,0.0173885
258,-0.577,0.0173885
259,-0.576,0.0173885
260,-0.575,0.0173885
261,-0.574,0.0173885
262,-0.573,0.0173885
263,-0.572,0.0173885
264,-0.571,0.0173885
265,-0.57,0.0173885
266,-0.569,0.0173885
267,-0.568,0.0173885
