;Scopy version,f4beeb1
;Exported on,samedi octobre 12/10/2024
;Device,M2K
;Nr of samples,16937
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,0,0.0295605,-0.0732059
1,0.001,0.0295605,-0.0732059
2,0.002,0.0295605,-0.0732059
3,0.003,0.0295605,-0.0732059
4,0.004,0.0295605,-0.0732059
5,0.005,0.0295605,-0.0732059
6,0.006,0.0295605,-0.0732059
7,0.007,0.0295605,-0.0732059
8,0.008,0.0295605,-0.0732059
9,0.009,0.0295605,-0.0732059
10,0.01,0.0295605,-0.0732059
11,0.011,0.0295605,-0.0732059
12,0.012,0.0295605,-0.0732059
13,0.013,0.0295605,-0.0732059
14,0.014,0.0295605,-0.0732059
15,0.015,0.0295605,-0.0732059
16,0.016,0.0295605,-0.0732059
17,0.017,0.0295605,-0.0732059
18,0.018,0.0295605,-0.0732059
19,0.019,0.0295605,-0.0732059
20,0.02,0.0295605,-0.0732059
21,0.021,0.0295605,-0.0732059
22,0.022,0.0295605,-0.0732059
23,0.023,0.0295605,-0.0732059
24,0.024,0.0295605,-0.0732059
25,0.025,0.0295605,-0.0732059
26,0.026,0.0295605,-0.0732059
27,0.027,0.0295605,-0.0732059
28,0.028,0.0295605,-0.0732059
29,0.029,0.0295605,-0.0732059
30,0.03,0.0295605,-0.0732059
31,0.031,0.0295605,-0.0732059
32,0.032,0.0295605,-0.0732059
33,0.033,0.0295605,-0.0732059
34,0.034,0.0295605,-0.0732059
35,0.035,0.0295605,-0.0732059
36,0.036,0.0295605,-0.0732059
37,0.037,0.0295605,-0.0732059
38,0.038,0.0295605,-0.0732059
39,0.039,0.0295605,-0.0732059
40,0.04,0.0295605,-0.0732059
41,0.041,0.0295605,-0.0732059
42,0.042,0.0295605,-0.0732059
43,0.043,0.0295605,-0.0732059
44,0.044,0.0295605,-0.0732059
45,0.045,0.0295605,-0.0732059
46,0.046,0.0295605,-0.0732059
47,0.047,0.0295605,-0.0732059
48,0.048,0.0295605,-0.0732059
49,0.049,0.0295605,-0.0732059
50,0.05,0.0295605,-0.0732059
51,0.051,0.0295605,-0.0732059
52,0.052,0.0295605,-0.0732059
53,0.053,0.0295605,-0.0732059
54,0.054,0.0295605,-0.0732059
55,0.055,0.0295605,-0.0732059
56,0.056,0.0295605,-0.0732059
57,0.057,0.0295605,-0.0732059
58,0.058,0.0295605,-0.0732059
59,0.059,0.0295605,-0.0732059
60,0.06,0.0295605,-0.0732059
61,0.061,0.0295605,-0.0732059
62,0.062,0.0295605,-0.0732059
63,0.063,0.0295605,-0.0732059
64,0.064,0.0295605,-0.0732059
65,0.065,0.0295605,-0.0732059
66,0.066,0.0295605,-0.0732059
67,0.067,0.0295605,-0.0732059
68,0.068,0.0295605,-0.0732059
69,0.069,0.0295605,-0.0732059
70,0.07,0.0295605,-0.0732059
71,0.071,0.0295605,-0.0732059
72,0.072,0.0295605,-0.0732059
73,0.073,0.0295605,-0.0732059
74,0.074,0.0295605,-0.0732059
75,0.075,0.0295605,-0.0732059
76,0.076,0.0295605,-0.0732059
77,0.077,0.0295605,-0.0732059
78,0.078,0.0295605,-0.0732059
79,0.079,0.0295605,-0.0732059
80,0.08,0.0295605,-0.0732059
81,0.081,0.0295605,-0.0732059
82,0.082,0.0295605,-0.0732059
83,0.083,0.0295605,-0.0732059
84,0.084,0.0295605,-0.0732059
85,0.085,0.0295605,-0.0732059
86,0.086,0.0295605,-0.0732059
87,0.087,0.0295605,-0.0732059
88,0.088,0.0295605,-0.0732059
89,0.089,0.0295605,-0.0732059
90,0.09,0.0295605,-0.0732059
91,0.091,0.0295605,-0.0732059
92,0.092,0.0295605,-0.0732059
93,0.093,0.0295605,-0.0732059
94,0.094,0.0295605,-0.0732059
95,0.095,0.0295605,-0.0732059
96,0.096,0.0295605,-0.0732059
97,0.097,0.0295605,-0.0732059
98,0.098,0.0295605,-0.0732059
99,0.099,0.0295605,-0.0732059
100,0.1,0.0295605,-0.0732059
101,0.101,0.0295605,-0.0732059
102,0.102,0.0295605,-0.0732059
103,0.103,0.0295605,-0.0732059
