SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.577798417747060256e-01
-9.000000000000000000e+00,1.447546897096413099e-01
-8.000000000000000000e+00,1.317975435178925236e-01
-7.000000000000000000e+00,1.172720363775968805e-01
-6.000000000000000000e+00,9.918471308334377012e-02
-5.000000000000000000e+00,7.931734651391780799e-02
-4.000000000000000000e+00,6.095921447158785672e-02
-3.000000000000000000e+00,4.460753152194736615e-02
-2.000000000000000000e+00,2.830880745006619792e-02
-1.000000000000000000e+00,2.056450472849484859e-02
0.000000000000000000e+00,1.252226974310936825e-02
1.000000000000000000e+00,7.453300993728713408e-03
2.000000000000000000e+00,2.120502662918977328e-03
3.000000000000000000e+00,1.864910997422718425e-03
4.000000000000000000e+00,1.644412333754516472e-03
5.000000000000000000e+00,1.453068965684110436e-03
6.000000000000000000e+00,1.286204435260946419e-03
7.000000000000000000e+00,1.140087548676016428e-03
8.000000000000000000e+00,1.011703250642893240e-03
9.000000000000000000e+00,8.985850335331209719e-04
1.000000000000000000e+01,7.986914431054896110e-04
1.100000000000000000e+01,7.103144067671596446e-04
1.200000000000000000e+01,6.320106397818211780e-04
1.300000000000000000e+01,5.625498585291408699e-04
1.400000000000000000e+01,5.008752876696272865e-04
1.500000000000000000e+01,4.460732057899173433e-04
1.600000000000000000e+01,3.973491768678878147e-04
1.700000000000000000e+01,3.540092636686864580e-04
1.800000000000000000e+01,3.154449856201290347e-04
1.900000000000000000e+01,2.811211191663321373e-04
2.000000000000000000e+01,2.505656799892934535e-04
2.100000000000000000e+01,2.233616003892979751e-04
2.200000000000000000e+01,1.991397406244020088e-04
2.300000000000000000e+01,1.775729638315541733e-04
2.400000000000000000e+01,1.583710701058369669e-04
