        cfo  sto   snr  txp     ber  invalid
 108.063235    4  6.60  -30 0.00250        1
1376.436678    5  6.81  -30 0.00375        1
1045.851609    0  6.81  -30 0.47500        1
1405.867798    3  6.52  -30 0.00250        1
1252.827567    5  6.93  -30 0.00000        0
1010.253517    5  6.83  -30 0.49875        1
 990.538698    3  7.13  -30 0.00125        1
1196.361824    6  7.23  -30 0.00000        0
1315.391863    6  7.39  -29 0.00000        0
3179.767532    3  7.30  -29 0.47500        1
2248.126409    2  6.96  -29 0.00000        0
1116.908463    1  6.20  -29 0.47750        1
 747.503966    4  7.06  -29 0.00000        0
 365.699208    5  6.75  -28 0.00000        0
2282.886854    6  7.07  -28 0.00000        0
1524.055802    5  6.94  -28 0.00000        0
 730.243509    6  6.75  -28 0.00125        1
1124.557089    3  6.82  -28 0.00250        1
2881.044703    2  6.88  -28 0.04625        1
1043.544405    4  6.33  -27 0.47750        1
1143.290780    4  6.76  -27 0.22125        1
1304.780286    4  7.01  -27 0.00125        1
1218.494364    7  6.99  -27 0.07375        1
1725.354995    7  7.16  -27 0.00000        0
1536.973160    3  6.69  -27 0.05500        1
 378.806857    0  7.13  -27 0.51500        1
1366.406024    3  7.17  -26 0.07000        1
 615.409768    0  6.75  -26 0.00000        0
1887.810926    4  6.78  -26 0.00000        0
 -75.846464    0  7.07  -26 0.00125        1
 541.946340    2  6.93  -26 0.00000        0
2835.351211    6  7.07  -26 0.01625        1
1643.068765    7  6.98  -26 0.00125        1
1908.144257    6  7.08  -26 0.00250        1
1239.547355    3  8.14  -25 0.00000        0
1088.122654    1  8.33  -25 0.00000        0
-183.393529    5  8.51  -25 0.00000        0
 928.305477    6  8.42  -25 0.00000        0
1395.905682    6  8.58  -25 0.00000        0
1137.580576    1  8.00  -25 0.00000        0
1482.515327    0  8.60  -25 0.00000        0
2262.312332    7  8.17  -25 0.02000        1
1676.446690    3  8.75  -25 0.00000        0
1495.521501    7  8.60  -25 0.09750        1
1133.117118    7  8.03  -25 0.00000        0
1327.963798    0  8.33  -25 0.00000        0
1446.411848    0  8.60  -25 0.00000        0
1201.654153    5  8.26  -25 0.00625        1
1243.319256    6  8.47  -25 0.00000        0
1165.836333    2  8.52  -25 0.00000        0
1367.448695    2  8.12  -25 0.00250        1
1764.330829    1  8.37  -25 0.02875        1
2209.869286    4  8.08  -25 0.00000        0
 977.294594    2  8.69  -25 0.00875        1
 778.308238    6  8.62  -25 0.00000        0
 811.428904    0  8.58  -25 0.00000        0
1280.485209    3  8.52  -25 0.17750        1
1114.905296    1  8.80  -25 0.00000        0
1546.957924    6  8.53  -25 0.48250        1
 692.715118    3  8.68  -25 0.00000        0
 806.191477    1  8.61  -25 0.00000        0
1360.753805    7  8.50  -24 0.00000        0
 605.427909    6  8.56  -24 0.00000        0
1820.356879    5  8.78  -24 0.14375        1
1401.571893    3  8.74  -24 0.00000        0
1080.451379    0  8.34  -24 0.00000        0
 651.244130    4  8.73  -24 0.00000        0
 984.415777    2  8.40  -24 0.00625        1
1652.631030    0  8.68  -24 0.01250        1
 891.683508    1  8.49  -24 0.01250        1
 959.677804    5  8.71  -24 0.00000        0
1169.671793    3  8.65  -24 0.51625        1
1332.055983    3  8.49  -24 0.00000        0
1189.642270    0  8.52  -24 0.28125        1
2325.794909    6  8.30  -24 0.00000        0
1624.094950    1  8.74  -24 0.00000        0
 974.069523    3  8.58  -24 0.00000        0
 913.302895    2  8.31  -24 0.00250        1
 643.660604    2  8.40  -24 0.00625        1
 611.482705    5  8.34  -24 0.00000        0
1119.514488    6  8.50  -24 0.00000        0
 211.362694    3  8.72  -24 0.02250        1
1051.715493    5  8.61  -24 0.00000        0
1843.154177    3  8.70  -24 0.00000        0
 729.930518    0  8.49  -24 0.00125        1
1801.933866    0  8.27  -24 0.00750        1
 712.416241    0  8.66  -24 0.00375        1
 628.858244    2  8.47  -24 0.00000        0
 752.761315    1  8.68  -24 0.03375        1
 165.896105    1  8.71  -24 0.05250        1
 985.438112    1  8.71  -24 0.00000        0
1195.800112    6  8.67  -24 0.00125        1
1091.850206    7  8.64  -24 0.00000        0
1329.651898    4  8.51  -24 0.00000        0
1059.434792    5  8.12  -24 0.00625        1
1272.952553    0 10.55  -23 0.00000        0
 792.523688    3 10.33  -23 0.00000        0
 660.351582    2 10.30  -23 0.00000        0
 857.120380    3 10.47  -23 0.00000        0
1453.370222    4 10.10  -23 0.00125        1
 786.806132    5 10.34  -23 0.00000        0
 596.427830    5 10.46  -23 0.00000        0
1387.255888    2 10.38  -23 0.00000        0
1037.396167    1 10.33  -23 0.00000        0
1465.955082    7 10.42  -23 0.00000        0
1570.013133    5 10.49  -23 0.00000        0
2825.415183    1 10.33  -23 0.00000        0
1563.753668    2  9.85  -23 0.12875        1
1717.984912    7 10.38  -23 0.00000        0
1352.812762    1 10.39  -23 0.00000        0
 700.441413    6 10.44  -23 0.00000        0
 534.431353    0 10.34  -23 0.00000        0
1382.368271    3 10.27  -23 0.00000        0
 943.645536    4 10.22  -23 0.00000        0
 751.697003    7 10.01  -23 0.00000        0
1213.012900    4 10.34  -23 0.00000        0
 900.105570    5 10.30  -23 0.00500        1
1563.047526    4 10.61  -23 0.08750        1
1769.033580    4 10.37  -23 0.47875        1
 974.244724    3 10.55  -23 0.00000        0
1212.195412    1 10.47  -23 0.00250        1
 476.122082    0 10.37  -23 0.03250        1
 943.113706    4 10.36  -23 0.04750        1
1560.639291    2 10.51  -23 0.00000        0
1168.627224    3 10.50  -23 0.00000        0
2189.852089    2 10.46  -23 0.00000        0
1445.386015    2 10.36  -23 0.00000        0
1203.683289    0 10.27  -23 0.00000        0
 686.755837    4 10.60  -23 0.00000        0
1995.827759    3 10.21  -23 0.00000        0
1161.456237    5 10.22  -23 0.00000        0
 667.930958    3 10.14  -23 0.00000        0
1579.800106    1 10.16  -23 0.00000        0
1800.877321    4 10.30  -23 0.00000        0
1504.717236    6 10.23  -23 0.00000        0
1414.832065    4 10.18  -23 0.01250        1
1112.524572    2  9.60  -23 0.00000        0
1712.499773    5 10.11  -23 0.00000        0
1723.095696    4 10.30  -23 0.17375        1
1642.827693    5 10.18  -23 0.00000        0
1693.513625    4 10.11  -23 0.00000        0
 531.138455    4  9.97  -23 0.49750        1
1132.610783    1 10.03  -23 0.00000        0
1422.274600    7  9.99  -23 0.48750        1
 897.721585    5  9.89  -23 0.00000        0
1127.179004    4 10.10  -23 0.00000        0
 707.207510    2 10.12  -23 0.00000        0
 842.106118    4 10.14  -23 0.00000        0
1411.653181    6 10.28  -23 0.00000        0
 964.377058    0 10.36  -23 0.00000        0
 467.052693    7  9.97  -23 0.00000        0
1147.885031    1  9.99  -23 0.00000        0
 730.129613    1  9.62  -23 0.00000        0
1139.953829    3 10.12  -23 0.00000        0
1715.892337    2 10.19  -23 0.00000        0
 998.158628    4  9.86  -23 0.00375        1
 829.609362    4 10.00  -23 0.00000        0
1063.196258    2  9.48  -23 0.00000        0
1015.256157    2 10.30  -23 0.01250        1
 860.622215    1 10.19  -23 0.00000        0
 935.697259    7 10.33  -23 0.00000        0
 785.942694    0  9.96  -22 0.20375        1
1671.203690    3 10.58  -22 0.00000        0
1259.801238    5 10.56  -22 0.00000        0
1095.452775    4 10.62  -22 0.00000        0
1094.154328    1 10.67  -22 0.00000        0
1177.815370    5 10.65  -22 0.00000        0
 639.564210    5 10.57  -22 0.00000        0
 955.576311    3 10.37  -22 0.05750        1
1484.267341    6 10.01  -22 0.00125        1
 908.530300    2 10.68  -22 0.00000        0
1505.906946    3 10.65  -22 0.00000        0
1610.041955    2 10.70  -22 0.00000        0
 514.552598    5 10.67  -22 0.00000        0
 556.969377    5 10.19  -22 0.00000        0
1004.569875    1 10.78  -22 0.00000        0
1226.987871    5 10.64  -22 0.01375        1
 785.870953    0 10.65  -22 0.00000        0
2074.296434    7 10.72  -22 0.00000        0
1195.230693    0 10.79  -22 0.00000        0
 919.845054    5 10.13  -22 0.00000        0
1326.904170    6 10.57  -22 0.00000        0
1086.894643    2 10.60  -22 0.17625        1
1056.696313    6 10.42  -22 0.00000        0
1143.793795    2 10.53  -22 0.00000        0
 957.401134    1 10.65  -22 0.00000        0
1277.437355    6 10.82  -22 0.00000        0
2001.417367    4 10.75  -22 0.00000        0
1407.174427    2 10.72  -22 0.00250        1
1389.742859    4 10.54  -22 0.00000        0
 370.895221    5 10.24  -22 0.52750        1
1298.259353    7 10.67  -22 0.00000        0
 787.549982    2 10.70  -22 0.00000        0
 756.409596    6 10.77  -22 0.00000        0
 984.692364    0 10.66  -22 0.00500        1
1740.359474    1 10.24  -22 0.00250        1
1437.222398    7 10.43  -22 0.00000        0
1127.056630    5 10.61  -22 0.00000        0
1708.635972    5 10.66  -22 0.00000        0
1466.770911    4 10.52  -22 0.45625        1
 964.388916    0 10.52  -22 0.00000        0
1140.274469    7 10.34  -22 0.00000        0
1605.983684    2 10.73  -22 0.00000        0
 452.950398    1 10.77  -22 0.00000        0
1819.769079    7 10.68  -22 0.00000        0
1084.823175    1 10.69  -22 0.00000        0
1407.726890    0 10.60  -22 0.00000        0
1597.951215    3 10.83  -22 0.00000        0
 718.555170    1 10.82  -22 0.00000        0
1330.612394    2 10.77  -22 0.00000        0
2016.943241    6 10.69  -22 0.00000        0
1387.344467    0 10.64  -22 0.00000        0
1281.372777    1 10.56  -22 0.00000        0
 918.498049    6  9.98  -22 0.00000        0
 935.950368    4 10.50  -22 0.00000        0
 896.328867    3 10.66  -22 0.00000        0
 948.645448    4 10.71  -22 0.00000        0
 829.242832    4 10.50  -22 0.00000        0
1151.738752    3 10.66  -22 0.00000        0
 470.715886    2 10.39  -22 0.00000        0
 983.603625    6 10.63  -22 0.00000        0
1423.858706    1 10.64  -22 0.00000        0
1112.902723    2 10.74  -22 0.00000        0
 851.530475    3 10.68  -22 0.00000        0
1978.522597    2 10.62  -22 0.00000        0
 660.798628    4 10.50  -22 0.02375        1
1007.900422    2 10.62  -22 0.00000        0
1105.526118    6 10.65  -22 0.00000        0
1895.548724    4 10.53  -22 0.00000        0
1579.282150    0 12.71  -21 0.00000        0
2038.026233    3 12.63  -21 0.00000        0
1343.018555    5 12.45  -21 0.00000        0
1398.049721    1 12.45  -21 0.00000        0
1464.052472    1 12.24  -21 0.00000        0
1880.489105    1 12.61  -21 0.00000        0
1465.934687    7 12.63  -21 0.00000        0
1288.550524    1 12.63  -21 0.00000        0
1511.546477    4 12.75  -21 0.00000        0
1629.021817    5 12.72  -21 0.00000        0
1333.112053    3 12.70  -21 0.00000        0
1383.374538    2 12.59  -21 0.00000        0
 760.672298    3 12.67  -21 0.00000        0
1301.240920    0 12.61  -21 0.00000        0
1155.155862    6 12.77  -21 0.00000        0
2032.055983    5 12.64  -21 0.00000        0
1594.659088    6 12.70  -21 0.00000        0
1107.397069    7 12.20  -21 0.00000        0
1007.600771    5 12.53  -21 0.00000        0
 797.218435    2 12.74  -21 0.00000        0
1343.940038    4 12.65  -21 0.00000        0
1972.508355    4 12.79  -21 0.00000        0
1528.930138    4 12.83  -21 0.00000        0
1144.609742    7 12.68  -21 0.00000        0
 925.599785    1 12.39  -21 0.00000        0
 867.072416    5 12.71  -21 0.00000        0
1220.053450    3 12.72  -21 0.00000        0
1245.266334    6 12.68  -21 0.00000        0
1547.087176    1 12.66  -21 0.00000        0
1423.946810    1 12.55  -21 0.00000        0
1182.097875    5 12.68  -21 0.00000        0
1635.045546    6 12.74  -21 0.00000        0
1209.940027    5 12.42  -21 0.00000        0
 692.266116    2 12.55  -21 0.00000        0
1080.802850    4 12.64  -21 0.00000        0
1518.823948    5 12.75  -21 0.00000        0
1781.654845    0 12.81  -21 0.00000        0
 712.531856    1 12.70  -21 0.00000        0
1563.826831    0 12.78  -21 0.00000        0
1075.549651    3 12.83  -21 0.00000        0
1542.126040    3 12.29  -21 0.00000        0
1430.985344    4 12.56  -21 0.00750        1
1397.168674    2 12.58  -21 0.00000        0
