        cfo  sto   snr  txp     ber  invalid
 918.548623    6  8.10  -35 0.00125        1
 561.906026    4  8.09  -35 0.00000        0
 840.553614    1  8.00  -35 0.00000        0
 988.665376    2  7.76  -35 0.00125        1
 967.059211    6  7.82  -34 0.00875        1
1899.968188    3  7.99  -34 0.10875        1
1015.680435    3  7.76  -34 0.51375        1
 633.860587    1  7.93  -33 0.11125        1
1037.091180    1  7.92  -33 0.02125        1
1500.487736    5  7.91  -33 0.00000        0
1016.951964    4  7.86  -32 0.03625        1
 439.890211    3  7.85  -32 0.00750        1
1083.119896    3  7.81  -30 0.04125        1
 764.929605    1  7.81  -30 0.00000        0
 964.915469    6  7.82  -30 0.00375        1
2307.549529    3  7.03  -29 0.00000        0
 909.179999    3  7.71  -29 0.00125        1
 601.001211    4  8.03  -28 0.48500        1
1454.948517    4  7.71  -28 0.00125        1
 461.650737    7  8.12  -28 0.00750        1
1013.966958    5  8.34  -28 0.00375        1
1374.919333    4  8.19  -28 0.00000        0
1130.436625    4  8.01  -26 0.00000        0
2246.747090    4  7.80  -26 0.00000        0
 918.771968    4  9.78  -25 0.00000        0
1705.978009    2  9.83  -25 0.00000        0
1634.669055    1  9.87  -25 0.00500        1
1638.270913    1  9.85  -25 0.00125        1
1040.764542    6  9.76  -25 0.00000        0
 912.676261    4  9.98  -24 0.00000        0
1606.526305    5  9.75  -24 0.00000        0
 838.779306    7  9.60  -24 0.00125        1
 952.935246    1  9.75  -24 0.00000        0
1577.401121    5  9.96  -24 0.00000        0
1498.799992    5 11.45  -23 0.04625        1
1253.206073    4 11.42  -23 0.50125        1
1773.837480    1 11.65  -23 0.00000        0
1704.892056    0 11.54  -23 0.00000        0
1273.333076    2 11.45  -23 0.00000        0
1907.314436    7 11.48  -23 0.00000        0
1568.427248    0 11.24  -23 0.00000        0
 970.172639    6 11.54  -23 0.00000        0
1675.974862    5 12.05  -22 0.00000        0
1522.419758    2 11.95  -22 0.00000        0
 997.448928    0 11.97  -22 0.00000        0
 989.065286    1 11.71  -22 0.00000        0
1320.186276    4 11.99  -22 0.00000        0
1520.883203    3 12.01  -22 0.00000        0
1043.818798    5 12.03  -22 0.00000        0
 759.937104    5 11.96  -22 0.00000        0
1087.452560    0 11.91  -22 0.00000        0
1540.061568    2 12.25  -22 0.00000        0
1636.227074    1 13.56  -21 0.00000        0
1497.886217    0 13.50  -21 0.00000        0
 965.075195    0 13.45  -21 0.00000        0
 962.632158    3 13.38  -21 0.00000        0
1812.890035    1 13.54  -21 0.00000        0
1542.166950    4 13.55  -21 0.00000        0
1269.317375    0 13.51  -21 0.00000        0
1293.241061    2 13.35  -21 0.00000        0
1923.969307    3 13.46  -21 0.00000        0
1048.360518    1 13.12  -21 0.00000        0
1172.562528    0 14.51  -20 0.00000        0
1707.405590    0 14.61  -20 0.00000        0
1303.878014    4 14.56  -20 0.00000        0
1318.563158    1 14.64  -20 0.00000        0
1184.149422    0 14.50  -20 0.00000        0
1374.464817    2 14.49  -20 0.00000        0
1227.205346    1 14.45  -20 0.00000        0
 991.753191    1 14.35  -20 0.00000        0
2435.830442    6 14.44  -20 0.00000        0
1589.666884    2 14.65  -20 0.00000        0
