          cfo  sto   snr  txp     ber  invalid
  2632.212848    5  9.08  -30 0.00000        0
  1093.275415    1  9.17  -30 0.00250        1
  2175.272955    5  9.31  -30 0.06375        1
  1495.467547    5 10.70  -25 0.00000        0
   931.185836    4 10.57  -25 0.06125        1
  1337.689584    1 10.76  -25 0.00000        0
  2729.014415    7 10.67  -25 0.00000        0
  1721.623885    1 10.70  -25 0.00000        0
  1178.802902    4 10.68  -25 0.00000        0
  2156.929628    3 15.54  -20 0.00000        0
  1807.069671    5 15.48  -20 0.00000        0
  2100.206330    3 15.21  -20 0.00000        0
  1895.800943    5 15.52  -20 0.00000        0
  2115.499313    7 15.44  -20 0.00000        0
  1986.976260    4 15.46  -20 0.00000        0
  2374.152648    1 15.33  -20 0.00000        0
  1976.885012    1 15.27  -20 0.00000        0
  1949.507455    2 15.51  -20 0.00000        0
  2037.977852    7 15.52  -20 0.00000        0
  2185.608122    2 21.74  -15 0.00000        0
  1697.435529    3 21.60  -15 0.00000        0
  2220.661222    0 21.87  -15 0.00000        0
  2078.047584    3 21.89  -15 0.00000        0
  1899.140265    3 21.82  -15 0.00000        0
  2114.596685    3 21.74  -15 0.00000        0
  1971.250461    2 21.74  -15 0.00000        0
  1666.302199    3 21.89  -15 0.00000        0
  2018.748261    3 21.85  -15 0.00000        0
  1763.581643    0 21.86  -15 0.00000        0
  1912.597753    0 27.20  -10 0.00000        0
  2034.930355    5 27.56  -10 0.00000        0
  1977.653289    6 27.58  -10 0.00000        0
  1947.935563    1 27.58  -10 0.00000        0
  1901.548381    6 27.47  -10 0.00000        0
  1853.646936    7 27.47  -10 0.00000        0
  1895.121837    7 27.62  -10 0.00000        0
  1854.880046    6 27.58  -10 0.00000        0
  2021.073371    0 27.59  -10 0.00000        0
  1977.312729    7 27.57  -10 0.00000        0
  1927.334717    2 32.76   -5 0.00000        0
  1912.727124    1 32.86   -5 0.00000        0
  1873.653106    1 32.84   -5 0.00000        0
  1940.952999    0 32.82   -5 0.00000        0
  1990.561398    3 32.79   -5 0.00000        0
  1837.472787    1 32.64   -5 0.00000        0
  1963.649149    2 32.43   -5 0.00000        0
  1888.534736    0 32.79   -5 0.00000        0
  1933.385837    1 32.84   -5 0.00000        0
  1950.597677    2 32.80   -5 0.00000        0
  2002.479604    4 37.81    0 0.00000        0
  1867.696730    4 37.82    0 0.00000        0
  1958.041279    4 37.62    0 0.00000        0
  1994.844970    3 37.92    0 0.00000        0
  1898.000003    3 37.91    0 0.00000        0
  1970.198660    4 37.87    0 0.00000        0
  1918.764489    3 37.74    0 0.00000        0
  1893.615045    4 37.56    0 0.00000        0
  1891.581641    2 37.92    0 0.00000        0
  1876.604317    4 37.90    0 0.00000        0
  1865.228257    5 42.90    5 0.00000        0
  1971.357657    5 42.90    5 0.00000        0
  1904.446824    4 42.91    5 0.00000        0
  1885.755347    5 42.81    5 0.00000        0
  1955.026865    4 42.60    5 0.00000        0
  1872.751189    5 42.90    5 0.00000        0
  1938.044240    5 42.82    5 0.00000        0
  1827.487074    4 42.82    5 0.00000        0
  1903.700958    4 42.74    5 0.00000        0
  1805.819604    4 42.75    5 0.00000        0
  1792.424607    6 47.47   10 0.00000        0
  1893.268437    5 47.47   10 0.00000        0
  1850.773395    5 47.27   10 0.00000        0
  1843.479322    4 47.58   10 0.00000        0
  1871.945914    4 47.54   10 0.00000        0
  1884.680067    5 47.50   10 0.00000        0
  1883.656013    4 47.39   10 0.00000        0
  1844.362385    5 47.19   10 0.00000        0
  1818.100545    5 47.54   10 0.00000        0
  1886.126857    6 47.52   10 0.00000        0
  1925.033559    6 51.28   15 0.00000        0
  1925.040793    7 51.22   15 0.00000        0
  1881.450075    6 51.18   15 0.00000        0
    66.074461    5 16.51   15 0.52875        1
  8000.500344    0 51.25   15 0.47250        1
  1900.645634    4 51.22   15 0.00000        0
  1899.288608    6 51.23   15 0.00000        0
  1912.952900    6 51.23   15 0.00000        0
   642.029600    5 -1.14   15 0.48750        1
-10209.942269    4 51.27   15 0.49125        1
  1897.309513    4 50.91   15 0.00000        0
  1891.049218    4 51.25   15 0.00000        0
