         cfo  sto   snr  txp     ber  invalid
 1257.951276    1  8.89  -30 0.00000        0
 1691.193021    0  8.78  -30 0.00000        0
 1127.746526    4  8.98  -30 0.05500        1
 1177.178953    5  8.89  -30 0.00000        0
 1306.070670    7  8.28  -30 0.00000        0
  925.889712    4  8.82  -30 0.00000        0
 1211.519152    0  8.90  -30 0.05250        1
 1296.711770    7  8.50  -30 0.00750        1
 2231.457901    2  8.68  -30 0.50500        1
 1906.150458    7  8.34  -30 0.00375        1
 1561.270847    2  8.49  -30 0.00000        0
 1460.064519    3  8.57  -30 0.00000        0
  838.129489    1  8.50  -30 0.06250        1
 1444.762523    2  8.72  -30 0.00000        0
 1888.880870    4  9.03  -30 0.00000        0
 1141.275518    7  8.85  -30 0.00000        0
 1617.992485    4  8.93  -30 0.00000        0
 1495.307346    7  8.87  -30 0.00750        1
  809.089031    6  8.46  -30 0.00000        0
 1691.870348    7  8.93  -30 0.00000        0
  605.412612    4  8.82  -30 0.00000        0
 1477.127778    6  8.79  -30 0.00000        0
 1066.020589    4  9.03  -30 0.00375        1
 1633.531521    1  8.98  -30 0.47250        1
 1762.324224    5  9.01  -30 0.04625        1
  907.071474    3  8.86  -30 0.00000        0
  950.553751    2  8.83  -30 0.00000        0
 1151.459378    2  8.91  -30 0.00000        0
  894.233564    6  8.93  -30 0.00125        1
 1444.986046    0  8.94  -30 0.50625        1
 1244.419557    7  8.99  -30 0.00000        0
  737.215579    6  8.86  -30 0.16750        1
 1240.978375    2  8.79  -30 0.00000        0
 1654.540163    6  8.77  -30 0.00000        0
 1839.998297    7  9.08  -30 0.00000        0
 1147.277428    1  8.98  -30 0.00000        0
 1257.418498    2  8.94  -30 0.00000        0
 1456.023086    7  9.05  -30 0.00000        0
 1159.809165    0  8.89  -30 0.00000        0
  969.000835    1  9.02  -30 0.05250        1
 1612.623790    3  8.80  -30 0.00125        1
 1251.637027    5  8.78  -30 0.00000        0
 1235.789803    2  8.73  -30 0.00000        0
 1143.608573    5 10.61  -25 0.00000        0
 1948.494666    2 10.55  -25 0.00000        0
 1191.389423    7 10.32  -25 0.00000        0
 1570.344800    3 10.56  -25 0.00750        1
 1032.550883    2 10.61  -25 0.00000        0
 1294.094361    2 10.53  -25 0.00000        0
 1812.769321    1 10.53  -25 0.00000        0
 1170.234453    7 10.60  -25 0.00000        0
 1414.476089    5 10.47  -25 0.00000        0
  736.439238    1 10.57  -25 0.00000        0
 2176.896311    2 10.53  -25 0.00000        0
 1187.095060    5 10.64  -25 0.00000        0
 2128.797075    0 10.63  -25 0.00000        0
 1214.207472    7 10.34  -25 0.00000        0
 2522.075573    5 10.55  -25 0.36500        1
 2120.018622    1 10.60  -25 0.00000        0
 1538.749484    0 10.51  -25 0.47750        1
 1006.341574    4 10.33  -25 0.12250        1
 2035.656536    2 10.57  -25 0.00000        0
  774.670154    4 10.47  -25 0.00000        0
 1784.036399    6 10.57  -25 0.00000        0
 1394.577353    1 10.46  -25 0.00000        0
 1510.916226    0 10.50  -25 0.00000        0
 1809.807201    2 10.70  -25 0.00000        0
 1404.224402    0 10.60  -25 0.00000        0
  895.635235    4 10.46  -25 0.07875        1
 1488.218179    3 10.44  -25 0.04625        1
 1543.578759    6 10.48  -25 0.00000        0
 1561.214877    2 10.62  -25 0.00000        0
 2931.896410    4 10.64  -25 0.04625        1
 1195.793946    2 10.57  -25 0.00000        0
 2359.932574    5 10.43  -25 0.00000        0
 1339.585911    5 10.30  -25 0.00000        0
 1697.685851    4 10.71  -25 0.00000        0
  775.083464    3 10.60  -25 0.00000        0
 1220.507254    3 10.66  -25 0.00000        0
 1703.033202    1 10.63  -25 0.00000        0
 1228.206040    5 10.32  -25 0.15750        1
  939.283583    6 10.55  -25 0.00000        0
  762.508682    2 10.70  -25 0.00000        0
 2149.273887    1 10.60  -25 0.00000        0
 1423.833567    0 10.56  -25 0.00000        0
  877.625295    0 10.62  -25 0.00000        0
 1499.632421    4 10.63  -25 0.00000        0
 1555.868001    3 10.53  -25 0.00000        0
  909.847306    4 10.56  -25 0.00000        0
 1491.637305    1 10.53  -25 0.00000        0
 1384.424205    4 10.13  -25 0.00000        0
 1920.908173    4 10.61  -25 0.00000        0
 1120.826335    4 10.68  -25 0.00000        0
 1093.743805    3 10.66  -25 0.00000        0
 1552.966238    6 10.36  -25 0.00000        0
 2113.607493    1 10.53  -25 0.00000        0
 1612.164412    4 10.45  -25 0.00000        0
 1717.305925    3 10.35  -25 0.00000        0
 1316.524061    6 10.51  -25 0.00000        0
 1623.071608    3 10.53  -25 0.00000        0
 1301.315744    2 10.58  -25 0.00000        0
 2008.947888    7 10.62  -25 0.00000        0
  786.179912    2 10.54  -25 0.00000        0
  949.110162    6 10.57  -25 0.01000        1
 1053.945384    0 10.65  -25 0.00000        0
 1995.832028    0 10.63  -25 0.00000        0
 1512.304319    4 10.07  -25 0.00000        0
 1522.175484    0 10.62  -25 0.00000        0
 1876.516330    1 10.58  -25 0.00000        0
 1201.939100    2 10.47  -25 0.00000        0
 1817.696425    4 10.39  -25 0.00000        0
 1107.624267    7 10.59  -25 0.00000        0
  826.921813    6 10.57  -25 0.00000        0
 1020.185988    7 10.61  -25 0.00125        1
 1053.022478    3 10.54  -25 0.00000        0
 2002.832023    0 10.68  -25 0.00000        0
 1470.680720    6 10.33  -25 0.00000        0
 1204.888888    0 10.61  -25 0.00000        0
 1614.018287    3 10.62  -25 0.00000        0
 2090.543747    0 15.16  -20 0.00000        0
 1243.448271    3 15.25  -20 0.00000        0
 1321.231556    3 15.10  -20 0.00000        0
 1368.856710    3 15.32  -20 0.00000        0
 1610.437418    5 15.30  -20 0.00000        0
 2176.951332    3 15.27  -20 0.00000        0
 1442.984065    7 15.23  -20 0.00000        0
 1570.099578    1 14.95  -20 0.00000        0
 1240.096379    2 15.29  -20 0.00000        0
 1686.236984    4 15.28  -20 0.00000        0
 1434.406367    2 15.29  -20 0.00000        0
 1534.812638    6 15.33  -20 0.00000        0
 1456.478551    2 15.15  -20 0.00000        0
 1771.696880    5 15.08  -20 0.00000        0
 1615.670576    1 15.26  -20 0.00000        0
 1265.659785    6 15.27  -20 0.00000        0
 1833.959746    7 15.36  -20 0.00000        0
 1612.234493    3 15.20  -20 0.00000        0
 1458.794293    2 15.02  -20 0.00000        0
 1330.768089    5 15.26  -20 0.00000        0
 1723.806937    2 15.28  -20 0.00000        0
 1724.337937    5 15.29  -20 0.00000        0
 1949.149463    7 15.27  -20 0.00000        0
 1556.650271    2 15.12  -20 0.00000        0
 1540.179554    5 15.03  -20 0.00000        0
 1553.898867    4 15.20  -20 0.00000        0
 1674.472576    7 15.10  -20 0.00000        0
 1535.289447    3 15.07  -20 0.00000        0
 1606.155387    2 15.00  -20 0.00000        0
 1016.006410    7 14.64  -20 0.00000        0
 1575.380523    2 14.95  -20 0.00000        0
 1677.153069    3 15.02  -20 0.00000        0
 1879.629996    6 14.97  -20 0.00000        0
 1545.500699    2 14.75  -20 0.00000        0
 1819.505358    3 14.67  -20 0.00000        0
 1439.041884    3 14.52  -20 0.00000        0
 1317.746855    5 14.60  -20 0.00000        0
 1744.182601    0 14.58  -20 0.00000        0
 1751.408965    4 14.63  -20 0.00000        0
 1601.246663    2 14.50  -20 0.00000        0
 1329.573399    2 14.47  -20 0.00000        0
 1128.717338    7 14.47  -20 0.00000        0
 1619.384610    1 14.59  -20 0.00000        0
 1747.908967    6 14.51  -20 0.00000        0
 1328.488513    7 14.45  -20 0.00000        0
 1533.835068    2 14.50  -20 0.00000        0
 1463.009326    4 14.52  -20 0.00000        0
 1605.258806    1 14.55  -20 0.00000        0
 1257.504468    1 14.51  -20 0.00000        0
 1526.757521    1 14.52  -20 0.00000        0
 1437.319396    2 14.37  -20 0.00000        0
 1877.714341    1 14.38  -20 0.00000        0
 1328.199297    5 14.53  -20 0.00000        0
 1448.728420    0 14.70  -20 0.00000        0
 2060.115254    5 14.73  -20 0.00000        0
 2089.684993    3 14.41  -20 0.00000        0
 1223.168419    3 14.72  -20 0.00000        0
 1400.613177    1 14.66  -20 0.00000        0
 2038.668934    3 14.86  -20 0.00000        0
 1691.688328    6 14.83  -20 0.00000        0
 1339.006175    2 14.84  -20 0.00000        0
 1597.892044    3 14.87  -20 0.00000        0
 1836.259124    2 14.76  -20 0.00000        0
 1079.723893    4 14.81  -20 0.00000        0
 1665.819343    3 14.86  -20 0.00000        0
 1369.071814    1 14.84  -20 0.00000        0
 2247.651616    0 14.90  -20 0.00000        0
 1293.730677    1 14.74  -20 0.00000        0
 1462.558131    1 14.95  -20 0.00000        0
 1297.970967    4 14.93  -20 0.00000        0
 1986.483680    1 14.92  -20 0.00000        0
 1350.222270    4 14.96  -20 0.00000        0
 1163.550117    7 14.90  -20 0.00000        0
 1796.387658    6 14.57  -20 0.00000        0
 1095.867923    4 14.97  -20 0.00000        0
 1151.972946    6 15.06  -20 0.00000        0
 1628.608923    0 14.91  -20 0.00000        0
 1173.218274    3 14.76  -20 0.00000        0
 1621.746243    3 14.90  -20 0.00000        0
 1807.710357    6 14.92  -20 0.00000        0
 1560.657671    7 14.88  -20 0.00000        0
 1164.396420    0 14.86  -20 0.00000        0
 1571.899736    7 14.79  -20 0.00000        0
 1493.559956    3 14.62  -20 0.00000        0
 1090.331082    0 14.91  -20 0.00000        0
 1505.172463    5 14.96  -20 0.00000        0
 1553.814320    1 14.91  -20 0.00000        0
 1892.230627    0 14.81  -20 0.00000        0
 1933.521018    4 14.89  -20 0.00000        0
 1693.225477    1 14.91  -20 0.00000        0
 1887.411075    3 14.89  -20 0.00000        0
 1556.537620    4 14.91  -20 0.00000        0
 1602.227673    5 14.94  -20 0.00000        0
 1383.833916    3 14.65  -20 0.00000        0
 1507.278083    6 14.56  -20 0.00000        0
 1731.479398    7 14.94  -20 0.00000        0
 1433.642121    1 14.95  -20 0.00000        0
 2100.816778    5 14.92  -20 0.00000        0
 1581.550461    7 14.88  -20 0.00000        0
 1454.989071    4 21.38  -15 0.00000        0
 1682.537416    5 21.35  -15 0.00000        0
 1746.113078    3 21.41  -15 0.00000        0
 1802.007979    4 21.38  -15 0.00000        0
 1140.173320    4 21.36  -15 0.00000        0
 1531.245050    4 21.19  -15 0.00000        0
 1329.020699    2 21.37  -15 0.00000        0
 1543.299030    2 21.43  -15 0.00000        0
 1452.991241    2 21.42  -15 0.00000        0
 1727.518955    4 21.41  -15 0.00000        0
 1593.243958    4 21.32  -15 0.00000        0
 1843.732252    3 21.24  -15 0.00000        0
 1528.865631    3 21.42  -15 0.00000        0
 1860.051424    3 21.40  -15 0.00000        0
 1789.526045    2 21.41  -15 0.00000        0
 1791.995111    2 21.35  -15 0.00000        0
 1398.033476    2 21.20  -15 0.00000        0
 1545.626275    1 21.36  -15 0.00000        0
 1608.166261    2 21.43  -15 0.00000        0
 1508.712778    2 21.41  -15 0.00000        0
 1812.606986    7 21.38  -15 0.00000        0
 1462.710387    4 21.32  -15 0.00000        0
 1504.188371    0 21.17  -15 0.00000        0
 1571.475220    3 21.29  -15 0.00000        0
 1604.573416    7 21.30  -15 0.00000        0
 1533.049359    3 21.24  -15 0.00000        0
 1843.335248    4 21.20  -15 0.00000        0
 1556.394732    4 20.99  -15 0.00000        0
 1810.287211    2 21.24  -15 0.00000        0
 1461.146321    3 21.27  -15 0.00000        0
 1808.104753    0 21.27  -15 0.00000        0
 1639.890949    5 21.24  -15 0.00000        0
 1442.337806    7 21.26  -15 0.00000        0
 1723.121428    0 21.39  -15 0.00000        0
 1773.965665    3 21.42  -15 0.00000        0
 1581.621846    3 21.44  -15 0.00000        0
 1791.696409    4 21.47  -15 0.00000        0
 1720.642994    2 21.39  -15 0.00000        0
 1558.046191    4 21.24  -15 0.00000        0
 1561.033569    0 21.42  -15 0.00000        0
 1912.746334    3 21.46  -15 0.00000        0
 1370.040609    1 21.41  -15 0.00000        0
 1565.372517    2 21.29  -15 0.00000        0
 1504.483634    3 21.31  -15 0.00000        0
