SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.286401108964700390e-01
-9.000000000000000000e+00,1.193334998432284411e-01
-8.000000000000000000e+00,9.812001346618080821e-02
-7.000000000000000000e+00,6.930377746613462786e-02
-6.000000000000000000e+00,6.711441949982731303e-02
-5.000000000000000000e+00,5.159565666458450911e-02
-4.000000000000000000e+00,3.764691460111679877e-02
-3.000000000000000000e+00,3.967702260413354977e-03
-2.000000000000000000e+00,3.418050507028675723e-03
-1.000000000000000000e+00,2.967997703003099307e-03
0.000000000000000000e+00,2.593561124173060159e-03
1.000000000000000000e+00,2.277678435644072026e-03
2.000000000000000000e+00,2.008037533343524569e-03
3.000000000000000000e+00,1.775614788082606780e-03
4.000000000000000000e+00,1.573681829169179666e-03
5.000000000000000000e+00,1.397127685331615203e-03
6.000000000000000000e+00,1.241994005369368532e-03
7.000000000000000000e+00,1.105154667869575518e-03
8.000000000000000000e+00,9.840935435627856144e-04
9.000000000000000000e+00,8.767491993735413488e-04
1.000000000000000000e+01,7.814054150344151373e-04
1.100000000000000000e+01,6.966131725311371699e-04
1.200000000000000000e+01,6.211343652265447195e-04
1.300000000000000000e+01,5.539005790678922349e-04
1.400000000000000000e+01,4.939824045132450723e-04
1.500000000000000000e+01,4.405661682209419333e-04
1.600000000000000000e+01,3.929359462754573157e-04
1.700000000000000000e+01,3.504593831981414175e-04
1.800000000000000000e+01,3.125762929597948885e-04
1.900000000000000000e+01,2.787893272100636674e-04
2.000000000000000000e+01,2.486562077243305606e-04
2.100000000000000000e+01,2.217831656674044917e-04
2.200000000000000000e+01,1.978193307415354347e-04
2.300000000000000000e+01,1.764518829299933271e-04
2.400000000000000000e+01,1.574018280975792437e-04
