SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.604870290780197606e-01
-9.000000000000000000e+00,1.551170161519807855e-01
-8.000000000000000000e+00,1.422450721909118143e-01
-7.000000000000000000e+00,1.224008133384760222e-01
-6.000000000000000000e+00,1.047227371465111329e-01
-5.000000000000000000e+00,8.963951982794921003e-02
-4.000000000000000000e+00,6.887150855742558975e-02
-3.000000000000000000e+00,3.553402618404485902e-02
-2.000000000000000000e+00,2.535069594407430432e-02
-1.000000000000000000e+00,3.275252033379861139e-03
0.000000000000000000e+00,2.846279248427138839e-03
1.000000000000000000e+00,2.485757536744227954e-03
2.000000000000000000e+00,2.179591921071978491e-03
3.000000000000000000e+00,1.917333742736437906e-03
4.000000000000000000e+00,1.691064513265161211e-03
5.000000000000000000e+00,1.494672175879591331e-03
6.000000000000000000e+00,1.323362258848094020e-03
7.000000000000000000e+00,1.173317653983802335e-03
8.000000000000000000e+00,1.041456836547915207e-03
9.000000000000000000e+00,9.252594448685903155e-04
1.000000000000000000e+01,8.226389603408115325e-04
1.100000000000000000e+01,7.318487963924752990e-04
1.200000000000000000e+01,6.514123228468841854e-04
1.300000000000000000e+01,5.800701725468245060e-04
1.400000000000000000e+01,5.167401135271349746e-04
1.500000000000000000e+01,4.604861213559816014e-04
1.600000000000000000e+01,4.104942386148993953e-04
1.700000000000000000e+01,3.660534836854572194e-04
1.800000000000000000e+01,3.265405515539864575e-04
1.900000000000000000e+01,2.914073922877207911e-04
2.000000000000000000e+01,2.601709981255210342e-04
2.100000000000000000e+01,2.324049059344481926e-04
2.200000000000000000e+01,2.077320480521152612e-04
2.300000000000000000e+01,1.858186754145919601e-04
2.400000000000000000e+01,1.663691424259140588e-04
