SNR_dB,RMSE_cfo
-1.000000000000000000e+01,2.412494856679570088e-01
-9.000000000000000000e+00,2.344650779608646318e-01
-8.000000000000000000e+00,2.333211462222543608e-01
-7.000000000000000000e+00,2.223881158597424412e-01
-6.000000000000000000e+00,2.130273224791723874e-01
-5.000000000000000000e+00,2.013745179186666734e-01
-4.000000000000000000e+00,1.733149745275993359e-01
-3.000000000000000000e+00,1.450420635194154539e-01
-2.000000000000000000e+00,1.204742148930003365e-01
-1.000000000000000000e+00,9.074435430476227027e-02
0.000000000000000000e+00,6.416058768078694574e-02
1.000000000000000000e+00,3.967428131681237369e-02
2.000000000000000000e+00,1.705576681885099394e-02
3.000000000000000000e+00,5.318748919684256581e-03
4.000000000000000000e+00,4.676422498102498007e-03
5.000000000000000000e+00,4.122901558633564750e-03
6.000000000000000000e+00,3.642917779075062999e-03
7.000000000000000000e+00,3.224545128271128196e-03
8.000000000000000000e+00,2.858326669928146820e-03
9.000000000000000000e+00,2.536654352001336665e-03
1.000000000000000000e+01,2.253323449171757732e-03
1.100000000000000000e+01,2.003209193764607810e-03
1.200000000000000000e+01,1.782029716244375736e-03
1.300000000000000000e+01,1.586170431815984039e-03
1.400000000000000000e+01,1.412552486423877818e-03
1.500000000000000000e+01,1.258533021193072735e-03
1.600000000000000000e+01,1.121828588697559512e-03
1.700000000000000000e+01,1.000455553307465521e-03
1.800000000000000000e+01,8.926830630973723972e-04
1.900000000000000000e+01,7.969954181228352868e-04
2.000000000000000000e+01,7.120615345782236455e-04
2.100000000000000000e+01,6.367098241233196685e-04
2.200000000000000000e+01,5.699072476638677434e-04
2.300000000000000000e+01,5.107416159019693936e-04
2.400000000000000000e+01,4.584064325322712995e-04
