SNR_dB,RMSE_cfo
-1.000000000000000000e+01,7.755858180776703525e-02
-9.000000000000000000e+00,7.755858180776702138e-02
-8.000000000000000000e+00,7.755858180776703525e-02
-7.000000000000000000e+00,7.755858180776703525e-02
-6.000000000000000000e+00,7.755858180776703525e-02
-5.000000000000000000e+00,7.761235773404834282e-02
-4.000000000000000000e+00,7.712362705097790261e-02
-3.000000000000000000e+00,7.840448033267934103e-02
-2.000000000000000000e+00,7.451316488544805494e-02
-1.000000000000000000e+00,7.062917082052339035e-02
0.000000000000000000e+00,3.083515501825422403e-02
1.000000000000000000e+00,9.167654982467734678e-03
2.000000000000000000e+00,6.277680406003817264e-03
3.000000000000000000e+00,5.367957827116381052e-03
4.000000000000000000e+00,4.897379827186858388e-03
5.000000000000000000e+00,4.186401824192421094e-03
6.000000000000000000e+00,3.701874200393704198e-03
7.000000000000000000e+00,3.324347884920143305e-03
8.000000000000000000e+00,2.881233727984166409e-03
9.000000000000000000e+00,2.591352030199473022e-03
1.000000000000000000e+01,2.277907726989304715e-03
1.100000000000000000e+01,1.956170587938154889e-03
1.200000000000000000e+01,1.729240793184015157e-03
1.300000000000000000e+01,1.542077766304353293e-03
1.400000000000000000e+01,1.370659537769873537e-03
1.500000000000000000e+01,1.237620966961600674e-03
1.600000000000000000e+01,1.087242548408116644e-03
1.700000000000000000e+01,9.690843350638641803e-04
1.800000000000000000e+01,8.595757290135056048e-04
1.900000000000000000e+01,7.540679128360110737e-04
2.000000000000000000e+01,6.885069183617107584e-04
2.100000000000000000e+01,6.120011217972898482e-04
2.200000000000000000e+01,5.500738588938517554e-04
2.300000000000000000e+01,4.908360407743319644e-04
2.400000000000000000e+01,4.337985514222785486e-04
