SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.577209841011218416e-01
-9.000000000000000000e+00,1.483126475293868596e-01
-8.000000000000000000e+00,1.340002829648177518e-01
-7.000000000000000000e+00,1.193612793379629500e-01
-6.000000000000000000e+00,1.029358346137479174e-01
-5.000000000000000000e+00,8.483502145452236076e-02
-4.000000000000000000e+00,6.477459844885480322e-02
-3.000000000000000000e+00,4.690447061337787993e-02
-2.000000000000000000e+00,3.012995033947261231e-02
-1.000000000000000000e+00,1.899843515611755393e-02
0.000000000000000000e+00,9.084070927805932422e-03
1.000000000000000000e+00,2.416322047911347894e-03
2.000000000000000000e+00,2.116809538018263066e-03
3.000000000000000000e+00,1.860499947432051916e-03
4.000000000000000000e+00,1.639614367157466498e-03
5.000000000000000000e+00,1.448117011125649081e-03
6.000000000000000000e+00,1.281260739059331740e-03
7.000000000000000000e+00,1.135262880762876641e-03
8.000000000000000000e+00,1.007070760676891585e-03
9.000000000000000000e+00,8.941904210611454793e-04
1.000000000000000000e+01,7.945604937638595881e-04
1.100000000000000000e+01,7.064586023451319748e-04
1.200000000000000000e+01,6.284313397893481756e-04
1.300000000000000000e+01,5.592414133896398288e-04
1.400000000000000000e+01,4.978273490135285296e-04
1.500000000000000000e+01,4.432724319014970230e-04
1.600000000000000000e+01,3.947804821848427382e-04
1.700000000000000000e+01,3.516567248382839535e-04
1.800000000000000000e+01,3.132924893784339439e-04
1.900000000000000000e+01,2.791528167739169061e-04
2.000000000000000000e+01,2.487662974004148787e-04
2.100000000000000000e+01,2.217166415064378987e-04
2.200000000000000000e+01,1.976356119821621722e-04
2.300000000000000000e+01,1.761970421831511851e-04
2.400000000000000000e+01,1.571117291405256067e-04
