SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.559929183197449609e-01
-9.000000000000000000e+00,1.392198435183899241e-01
-8.000000000000000000e+00,1.283749067226968021e-01
-7.000000000000000000e+00,1.128098045253431714e-01
-6.000000000000000000e+00,8.802981032302512054e-02
-5.000000000000000000e+00,6.451497323032739928e-02
-4.000000000000000000e+00,4.834233863054399061e-02
-3.000000000000000000e+00,3.545374909026084709e-02
-2.000000000000000000e+00,1.603445675464137965e-02
-1.000000000000000000e+00,1.596012502401806046e-02
0.000000000000000000e+00,2.706794837142519582e-03
1.000000000000000000e+00,2.362405514067698713e-03
2.000000000000000000e+00,2.070798556580617528e-03
3.000000000000000000e+00,1.821575131613215959e-03
4.000000000000000000e+00,1.606891706347798876e-03
5.000000000000000000e+00,1.420738646978640749e-03
6.000000000000000000e+00,1.258440632443270273e-03
7.000000000000000000e+00,1.116305509807614905e-03
8.000000000000000000e+00,9.913745501442645068e-04
9.000000000000000000e+00,8.812430899330977313e-04
1.000000000000000000e+01,7.839305947565678454e-04
1.100000000000000000e+01,6.977857130285008546e-04
1.200000000000000000e+01,6.214162594315996444e-04
1.300000000000000000e+01,5.536370583461203056e-04
1.400000000000000000e+01,4.934306525870307434e-04
1.500000000000000000e+01,4.399173352460592217e-04
1.600000000000000000e+01,3.923319844744984990e-04
1.700000000000000000e+01,3.500059024447970259e-04
1.800000000000000000e+01,3.123523699326250674e-04
1.900000000000000000e+01,2.788549893234853680e-04
2.000000000000000000e+01,2.490581451283676835e-04
2.100000000000000000e+01,2.225590931011694822e-04
2.200000000000000000e+01,1.990013185109593889e-04
2.300000000000000000e+01,1.780688963648155735e-04
2.400000000000000000e+01,1.594816522318812969e-04
