SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.798286879753953071e-01
-9.000000000000000000e+00,1.657853676254376352e-01
-8.000000000000000000e+00,1.449626819897638919e-01
-7.000000000000000000e+00,1.231746659056403986e-01
-6.000000000000000000e+00,1.289121995149274946e-01
-5.000000000000000000e+00,1.210108740881781220e-01
-4.000000000000000000e+00,9.723935067844600988e-02
-3.000000000000000000e+00,7.918247864131133795e-02
-2.000000000000000000e+00,7.913432007503200249e-02
-1.000000000000000000e+00,5.627937379388268935e-02
0.000000000000000000e+00,5.018941758466891750e-02
1.000000000000000000e+00,2.116617404656988364e-03
2.000000000000000000e+00,1.843847512180022373e-03
3.000000000000000000e+00,1.613251478541059217e-03
4.000000000000000000e+00,1.416714068494140388e-03
5.000000000000000000e+00,1.247959986780188034e-03
6.000000000000000000e+00,1.102104367852867976e-03
7.000000000000000000e+00,9.753156799396467229e-04
8.000000000000000000e+00,8.645616533170324362e-04
9.000000000000000000e+00,7.674180195000545289e-04
1.000000000000000000e+01,6.819249872992749805e-04
1.100000000000000000e+01,6.064798432648130580e-04
1.200000000000000000e+01,5.397566905342425937e-04
1.300000000000000000e+01,4.806464265067880498e-04
1.400000000000000000e+01,4.282117230099297686e-04
1.500000000000000000e+01,3.816530809266344528e-04
1.600000000000000000e+01,3.402830423376948001e-04
1.700000000000000000e+01,3.035064114923486495e-04
1.800000000000000000e+01,2.708049112049192215e-04
1.900000000000000000e+01,2.417251269198614010e-04
2.000000000000000000e+01,2.158689025996370948e-04
2.100000000000000000e+01,1.928855794181434365e-04
2.200000000000000000e+01,1.724656321940927939e-04
2.300000000000000000e+01,1.543353764218197046e-04
2.400000000000000000e+01,1.382525032439940336e-04
