SNR_dB,RMSE_cfo
-1.000000000000000000e+01,2.466342769904809329e-01
-9.000000000000000000e+00,2.408788381425893688e-01
-8.000000000000000000e+00,2.331931282680574369e-01
-7.000000000000000000e+00,2.261921571551734067e-01
-6.000000000000000000e+00,2.138077346435962589e-01
-5.000000000000000000e+00,1.922926675790355977e-01
-4.000000000000000000e+00,1.716240288691507909e-01
-3.000000000000000000e+00,1.489251570295832827e-01
-2.000000000000000000e+00,1.148273004878805487e-01
-1.000000000000000000e+00,8.757196786474440164e-02
0.000000000000000000e+00,5.056018325297667593e-02
1.000000000000000000e+00,3.561775719193433637e-02
2.000000000000000000e+00,2.304343197801970652e-02
3.000000000000000000e+00,5.365898417075923299e-03
4.000000000000000000e+00,4.716751907673657519e-03
5.000000000000000000e+00,4.157790290716242496e-03
6.000000000000000000e+00,3.673298747252567303e-03
7.000000000000000000e+00,3.251107601329260299e-03
8.000000000000000000e+00,2.881614717834302640e-03
9.000000000000000000e+00,2.557116291003560561e-03
1.000000000000000000e+01,2.271338141151479310e-03
1.100000000000000000e+01,2.019101265103959760e-03
1.200000000000000000e+01,1.796079342137234464e-03
1.300000000000000000e+01,1.598620333238485883e-03
1.400000000000000000e+01,1.423613383069967679e-03
1.500000000000000000e+01,1.268388128139217837e-03
1.600000000000000000e+01,1.130637441233667533e-03
1.700000000000000000e+01,1.008357306153527966e-03
1.800000000000000000e+01,8.997993483384212135e-04
1.900000000000000000e+01,8.034328186273967474e-04
2.000000000000000000e+01,7.179137167924807671e-04
2.100000000000000000e+01,6.420593670416515752e-04
2.200000000000000000e+01,5.748271996421175931e-04
2.300000000000000000e+01,5.152968063702373413e-04
2.400000000000000000e+01,4.626545612733811851e-04
