SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.406832607279017711e-01
-9.000000000000000000e+00,1.223183733853340643e-01
-8.000000000000000000e+00,1.181518345343112314e-01
-7.000000000000000000e+00,9.925539624485485435e-02
-6.000000000000000000e+00,8.800342835651002449e-02
-5.000000000000000000e+00,7.345682832136596341e-02
-4.000000000000000000e+00,3.459396927839757108e-02
-3.000000000000000000e+00,2.843047633577016828e-02
-2.000000000000000000e+00,2.415609087859574289e-02
-1.000000000000000000e+00,2.097330792661235982e-02
0.000000000000000000e+00,1.838674876784170478e-02
1.000000000000000000e+00,1.620129898062249232e-02
2.000000000000000000e+00,1.432053806242308130e-02
3.000000000000000000e+00,1.268538353138466170e-02
4.000000000000000000e+00,1.125454985214323009e-02
5.000000000000000000e+00,9.996906109333143081e-03
6.000000000000000000e+00,8.887879405360850360e-03
7.000000000000000000e+00,7.907495545484635388e-03
8.000000000000000000e+00,7.039187166930546344e-03
9.000000000000000000e+00,6.269007925600535505e-03
1.000000000000000000e+01,5.585083670623733863e-03
1.100000000000000000e+01,4.977212967584771809e-03
1.200000000000000000e+01,4.436567340396719260e-03
1.300000000000000000e+01,3.955460975434712222e-03
1.400000000000000000e+01,3.527170334830093817e-03
1.500000000000000000e+01,3.145790477026185784e-03
1.600000000000000000e+01,2.806118882964403656e-03
1.700000000000000000e+01,2.503560225555607338e-03
1.800000000000000000e+01,2.234047321750263007e-03
1.900000000000000000e+01,1.993974766224209435e-03
2.000000000000000000e+01,1.780142641215899787e-03
2.100000000000000000e+01,1.589708341145357846e-03
2.200000000000000000e+01,1.420145017912332686e-03
2.300000000000000000e+01,1.269205494095097114e-03
2.400000000000000000e+01,1.134890742093463880e-03
