SNR_dB,RMSE_cfo
-1.000000000000000000e+01,7.115365948068583246e-02
-9.000000000000000000e+00,6.375100857200578786e-02
-8.000000000000000000e+00,5.603090878531406804e-02
-7.000000000000000000e+00,4.906851329383302845e-02
-6.000000000000000000e+00,4.301693531722985270e-02
-5.000000000000000000e+00,3.761312930412327032e-02
-4.000000000000000000e+00,3.272208020969320091e-02
-3.000000000000000000e+00,2.831746414194317302e-02
-2.000000000000000000e+00,2.441064067256143444e-02
-1.000000000000000000e+00,2.101080413378166381e-02
0.000000000000000000e+00,1.810445397822816119e-02
1.000000000000000000e+00,1.565183675466732746e-02
2.000000000000000000e+00,1.359532624413658380e-02
3.000000000000000000e+00,1.187123282064912223e-02
4.000000000000000000e+00,1.041905495151363055e-02
5.000000000000000000e+00,9.186444615339399433e-03
6.000000000000000000e+00,8.130689043056232163e-03
7.000000000000000000e+00,7.218149610338233171e-03
8.000000000000000000e+00,6.422824069675882840e-03
9.000000000000000000e+00,5.724733869391520659e-03
1.000000000000000000e+01,5.108472073202192758e-03
1.100000000000000000e+01,4.562026206422641408e-03
1.200000000000000000e+01,4.075879495120898408e-03
1.300000000000000000e+01,3.642349338324414078e-03
1.400000000000000000e+01,3.255111199649892741e-03
1.500000000000000000e+01,2.908860259655708484e-03
1.600000000000000000e+01,2.599072193176114008e-03
1.700000000000000000e+01,2.321833795605852176e-03
1.800000000000000000e+01,2.073722166188294528e-03
1.900000000000000000e+01,1.851717372831717875e-03
2.000000000000000000e+01,1.653138118757986478e-03
2.100000000000000000e+01,1.475593219789402043e-03
2.200000000000000000e+01,1.316944002726269311e-03
2.300000000000000000e+01,1.175274320647002897e-03
2.400000000000000000e+01,1.048865959335037578e-03
