SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.448159245497495917e-01
-9.000000000000000000e+00,1.370751505316551155e-01
-8.000000000000000000e+00,1.258482215839985263e-01
-7.000000000000000000e+00,1.125172158720777887e-01
-6.000000000000000000e+00,9.731383841055245287e-02
-5.000000000000000000e+00,7.586315119819969643e-02
-4.000000000000000000e+00,5.676068579989645285e-02
-3.000000000000000000e+00,3.997771024658303834e-02
-2.000000000000000000e+00,2.523838454585439553e-02
-1.000000000000000000e+00,1.770323253397421484e-02
0.000000000000000000e+00,1.767671677990483720e-02
1.000000000000000000e+00,1.765974998894076498e-02
2.000000000000000000e+00,2.104046599271575113e-03
3.000000000000000000e+00,1.859145450017117953e-03
4.000000000000000000e+00,1.645828606077377959e-03
5.000000000000000000e+00,1.459156950858904933e-03
6.000000000000000000e+00,1.295186325206546408e-03
7.000000000000000000e+00,1.150718129441048385e-03
8.000000000000000000e+00,1.023121999190892018e-03
9.000000000000000000e+00,9.102075792804359107e-04
1.000000000000000000e+01,8.101304623362623166e-04
1.100000000000000000e+01,7.213222734170603037e-04
1.200000000000000000e+01,6.424380271808912768e-04
1.300000000000000000e+01,5.723159672266858950e-04
1.400000000000000000e+01,5.099465112396083183e-04
1.500000000000000000e+01,4.544479019195493208e-04
1.600000000000000000e+01,4.050468458063059590e-04
1.700000000000000000e+01,3.610629025961581266e-04
1.800000000000000000e+01,3.218957279808893224e-04
1.900000000000000000e+01,2.870145153550341874e-04
2.000000000000000000e+01,2.559491548953340251e-04
2.100000000000000000e+01,2.282827527319082519e-04
2.200000000000000000e+01,2.036452424023777851e-04
2.300000000000000000e+01,1.817078855220153884e-04
2.400000000000000000e+01,1.621785056948186934e-04
