SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.514710543669723075e-01
-9.000000000000000000e+00,1.397912051323421390e-01
-8.000000000000000000e+00,1.300994669404239856e-01
-7.000000000000000000e+00,1.135097115440885512e-01
-6.000000000000000000e+00,9.741802642542654600e-02
-5.000000000000000000e+00,7.658786891068754266e-02
-4.000000000000000000e+00,5.373239425192889024e-02
-3.000000000000000000e+00,3.745080077854447131e-02
-2.000000000000000000e+00,2.891162548883915301e-02
-1.000000000000000000e+00,2.265598434068509526e-02
0.000000000000000000e+00,1.604548589393486879e-02
1.000000000000000000e+00,2.469176236716817598e-03
2.000000000000000000e+00,2.168765097110557892e-03
3.000000000000000000e+00,1.910265667885457192e-03
4.000000000000000000e+00,1.686409119120393062e-03
5.000000000000000000e+00,1.491530852311732719e-03
6.000000000000000000e+00,1.321142670098111958e-03
7.000000000000000000e+00,1.171635210853937039e-03
8.000000000000000000e+00,1.040066247641409413e-03
9.000000000000000000e+00,9.240074970188270464e-04
1.000000000000000000e+01,8.214322209511324769e-04
1.100000000000000000e+01,7.306317352416888530e-04
1.200000000000000000e+01,6.501526525650435382e-04
1.300000000000000000e+01,5.787491470729162757e-04
1.400000000000000000e+01,5.153461994715559944e-04
1.500000000000000000e+01,4.590109392748403447e-04
1.600000000000000000e+01,4.089300126658236881e-04
1.700000000000000000e+01,3.643914783268429117e-04
1.800000000000000000e+01,3.247701418678467845e-04
1.900000000000000000e+01,2.895155312978935471e-04
2.000000000000000000e+01,2.581419254331028513e-04
2.100000000000000000e+01,2.302199980729648912e-04
2.200000000000000000e+01,2.053697500128880637e-04
2.300000000000000000e+01,1.832544803849684757e-04
2.400000000000000000e+01,1.635756068671473330e-04
