SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.285078027667108103e-01
-9.000000000000000000e+00,1.190150136750770249e-01
-8.000000000000000000e+00,1.089070708552811878e-01
-7.000000000000000000e+00,9.207835426110283494e-02
-6.000000000000000000e+00,7.929728005067467056e-02
-5.000000000000000000e+00,7.072621176551675826e-02
-4.000000000000000000e+00,6.807890776511439646e-02
-3.000000000000000000e+00,4.974640459717157015e-02
-2.000000000000000000e+00,4.852538636015884393e-02
-1.000000000000000000e+00,4.791277744844885111e-02
0.000000000000000000e+00,1.965868814588057553e-02
1.000000000000000000e+00,1.719809612280274666e-02
2.000000000000000000e+00,1.510313094019931877e-02
3.000000000000000000e+00,1.330284099118555531e-02
4.000000000000000000e+00,1.174445164223214544e-02
5.000000000000000000e+00,1.038764055260531748e-02
6.000000000000000000e+00,9.200895332860524467e-03
7.000000000000000000e+00,8.159099719715505461e-03
8.000000000000000000e+00,7.241884617388429958e-03
9.000000000000000000e+00,6.432476831891888180e-03
1.000000000000000000e+01,5.716880483776902791e-03
1.100000000000000000e+01,5.083284672110778037e-03
1.200000000000000000e+01,4.521627177706196397e-03
1.300000000000000000e+01,4.023267275172814732e-03
1.400000000000000000e+01,3.580735956723471534e-03
1.500000000000000000e+01,3.187541929452340078e-03
1.600000000000000000e+01,2.838018439407675921e-03
1.700000000000000000e+01,2.527200464935479719e-03
1.800000000000000000e+01,2.250724863422958084e-03
1.900000000000000000e+01,2.004748139593506666e-03
2.000000000000000000e+01,1.785877948432290120e-03
2.100000000000000000e+01,1.591115459783081767e-03
2.200000000000000000e+01,1.417806431681836949e-03
2.300000000000000000e+01,1.263599356670925666e-03
2.400000000000000000e+01,1.126409420875767054e-03
