SNR_dB,RMSE_cfo
-1.000000000000000000e+01,3.612947265809639957e-02
-9.000000000000000000e+00,3.025080759968367186e-02
-8.000000000000000000e+00,2.510577729031369595e-02
-7.000000000000000000e+00,2.144628794374448671e-02
-6.000000000000000000e+00,1.854119546742100805e-02
-5.000000000000000000e+00,1.600656438668049408e-02
-4.000000000000000000e+00,1.375002976502955054e-02
-3.000000000000000000e+00,1.179493050579835840e-02
-2.000000000000000000e+00,1.014834077802836271e-02
-1.000000000000000000e+00,8.776658382587189042e-03
0.000000000000000000e+00,7.632562869456124138e-03
1.000000000000000000e+00,6.671363377948523639e-03
2.000000000000000000e+00,5.856216544541132697e-03
3.000000000000000000e+00,5.158513435033070318e-03
4.000000000000000000e+00,4.556479718515909529e-03
5.000000000000000000e+00,4.033501707947505406e-03
6.000000000000000000e+00,3.576733768795371457e-03
7.000000000000000000e+00,3.176071413185524786e-03
8.000000000000000000e+00,2.823424763375353540e-03
9.000000000000000000e+00,2.512208537995586164e-03
1.000000000000000000e+01,2.236981594978666027e-03
1.100000000000000000e+01,1.993188888983215071e-03
1.200000000000000000e+01,1.776973936034320850e-03
1.300000000000000000e+01,1.585040336250556278e-03
1.400000000000000000e+01,1.414547849685284528e-03
1.500000000000000000e+01,1.263033114928181766e-03
1.600000000000000000e+01,1.128348163995326805e-03
1.700000000000000000e+01,1.008611952991393234e-03
1.800000000000000000e+01,9.021715364295439113e-04
1.900000000000000000e+01,8.075704824622187980e-04
2.000000000000000000e+01,7.235227988456254889e-04
2.100000000000000000e+01,6.488911093055043907e-04
2.200000000000000000e+01,5.826681502866143695e-04
2.300000000000000000e+01,5.239608919580166337e-04
2.400000000000000000e+01,4.719767547077853434e-04
