SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.858743146254920320e-01
-9.000000000000000000e+00,1.620495387154179123e-01
-8.000000000000000000e+00,1.761790913553860083e-01
-7.000000000000000000e+00,1.760449777734662269e-01
-6.000000000000000000e+00,1.760005083245665403e-01
-5.000000000000000000e+00,1.760040989568343872e-01
-4.000000000000000000e+00,3.673982662816449845e-03
-3.000000000000000000e+00,3.184287543765655822e-03
-2.000000000000000000e+00,2.765645732214108091e-03
-1.000000000000000000e+00,2.406871801818033941e-03
0.000000000000000000e+00,2.098803867213071099e-03
1.000000000000000000e+00,1.833766137065317124e-03
2.000000000000000000e+00,1.605273877298474261e-03
3.000000000000000000e+00,1.407841838574473269e-03
4.000000000000000000e+00,1.236837496885478688e-03
5.000000000000000000e+00,1.088356663708972072e-03
6.000000000000000000e+00,9.591140083455071798e-04
7.000000000000000000e+00,8.463464627678863933e-04
8.000000000000000000e+00,7.477289572649633903e-04
9.000000000000000000e+00,6.613019936939581621e-04
1.000000000000000000e+01,5.854102580004171127e-04
1.100000000000000000e+01,5.186511928184356617e-04
1.200000000000000000e+01,4.598322992447167047e-04
1.300000000000000000e+01,4.079359110519917178e-04
1.400000000000000000e+01,3.620902491471865220e-04
1.500000000000000000e+01,3.215456813728308368e-04
1.600000000000000000e+01,2.856552531170047883e-04
1.700000000000000000e+01,2.538586975271702275e-04
1.800000000000000000e+01,2.256692684357047732e-04
1.900000000000000000e+01,2.006628583622413356e-04
2.000000000000000000e+01,1.784689660439879003e-04
2.100000000000000000e+01,1.587631630985719721e-04
2.200000000000000000e+01,1.412607791372327446e-04
2.300000000000000000e+01,1.257115809485336673e-04
2.400000000000000000e+01,1.118952664064845718e-04
