SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.232006311914719821e-02
-9.000000000000000000e+00,1.232006311914719821e-02
-8.000000000000000000e+00,1.232006311914719821e-02
-7.000000000000000000e+00,1.232006311914719821e-02
-6.000000000000000000e+00,1.232006311914719821e-02
-5.000000000000000000e+00,1.232887611843604125e-02
-4.000000000000000000e+00,1.233426968865582694e-02
-3.000000000000000000e+00,1.209165728314663506e-02
-2.000000000000000000e+00,1.175754828101209515e-02
-1.000000000000000000e+00,1.178141291323746807e-02
0.000000000000000000e+00,1.188086979540817038e-02
1.000000000000000000e+00,1.210255296740944501e-02
2.000000000000000000e+00,1.220436605190342721e-02
3.000000000000000000e+00,1.241171096056034075e-02
4.000000000000000000e+00,1.245418001074586126e-02
5.000000000000000000e+00,1.241996964628326421e-02
6.000000000000000000e+00,1.236591944786468063e-02
7.000000000000000000e+00,1.211008264471880383e-02
8.000000000000000000e+00,1.194807081765896124e-02
9.000000000000000000e+00,1.189326946355023958e-02
1.000000000000000000e+01,1.189404791947163559e-02
1.100000000000000000e+01,1.189338625204314388e-02
1.200000000000000000e+01,1.190576198811140254e-02
1.300000000000000000e+01,1.192801707915056193e-02
1.400000000000000000e+01,1.192757055577251327e-02
1.500000000000000000e+01,1.192516023597788542e-02
1.600000000000000000e+01,1.192646172011366419e-02
1.700000000000000000e+01,1.192002208420997987e-02
1.800000000000000000e+01,1.199139194795828187e-02
1.900000000000000000e+01,1.199273912739776300e-02
2.000000000000000000e+01,1.200639678633247560e-02
2.100000000000000000e+01,1.200767285973971567e-02
2.200000000000000000e+01,1.200885637959949945e-02
2.300000000000000000e+01,1.210688848237013830e-02
2.400000000000000000e+01,1.211056747596732028e-02
