SNR_dB,RMSE_cfo
-1.000000000000000000e+01,1.455339573476809381e-02
-9.000000000000000000e+00,1.455402919134698297e-02
-8.000000000000000000e+00,1.455744208085996833e-02
-7.000000000000000000e+00,1.459875383931927631e-02
-6.000000000000000000e+00,1.460243470699981727e-02
-5.000000000000000000e+00,1.462639161242709589e-02
-4.000000000000000000e+00,1.471675279142134127e-02
-3.000000000000000000e+00,1.453633280918428979e-02
-2.000000000000000000e+00,1.450570589448401532e-02
-1.000000000000000000e+00,1.516454655165832763e-02
0.000000000000000000e+00,1.562068467135158296e-02
1.000000000000000000e+00,1.510794205053311509e-02
2.000000000000000000e+00,1.430977351905691683e-02
3.000000000000000000e+00,1.397134966813212524e-02
4.000000000000000000e+00,1.376427858868955502e-02
5.000000000000000000e+00,1.372897735972977880e-02
6.000000000000000000e+00,1.370465296682956899e-02
7.000000000000000000e+00,1.367673395902864811e-02
8.000000000000000000e+00,1.346354472906445554e-02
9.000000000000000000e+00,1.300025490244963340e-02
1.000000000000000000e+01,1.320918955454018426e-02
1.100000000000000000e+01,1.301231820840296517e-02
1.200000000000000000e+01,1.301399415722907446e-02
1.300000000000000000e+01,1.301871846297944502e-02
1.400000000000000000e+01,1.302671904097273473e-02
1.500000000000000000e+01,1.303028499889872203e-02
1.600000000000000000e+01,1.305503028161403289e-02
1.700000000000000000e+01,1.305800166905505925e-02
1.800000000000000000e+01,1.304314550717915536e-02
1.900000000000000000e+01,1.304494130314077897e-02
2.000000000000000000e+01,1.325936918465150070e-02
2.100000000000000000e+01,1.326075853821937628e-02
2.200000000000000000e+01,1.326205609582516674e-02
2.300000000000000000e+01,1.326325861528385511e-02
2.400000000000000000e+01,1.326436625122431011e-02
