SNR_dB,RMSE_cfo
-1.000000000000000000e+01,7.749423484468634382e-02
-9.000000000000000000e+00,7.749423484468635770e-02
-8.000000000000000000e+00,7.699831186448372056e-02
-7.000000000000000000e+00,7.406373155882589598e-02
-6.000000000000000000e+00,7.723542659193982640e-02
-5.000000000000000000e+00,7.627571914897939009e-02
-4.000000000000000000e+00,7.235484560649413366e-02
-3.000000000000000000e+00,2.468783898823193393e-02
-2.000000000000000000e+00,7.140279278521084912e-03
-1.000000000000000000e+00,5.897772498420603311e-03
0.000000000000000000e+00,5.111462430271006101e-03
1.000000000000000000e+00,4.515527732478430423e-03
2.000000000000000000e+00,3.909385240183521973e-03
3.000000000000000000e+00,3.480146901447280471e-03
4.000000000000000000e+00,3.137148839961677229e-03
5.000000000000000000e+00,2.804237178483271788e-03
6.000000000000000000e+00,2.484221186434691468e-03
7.000000000000000000e+00,2.239857502018085568e-03
8.000000000000000000e+00,1.998110584536305634e-03
9.000000000000000000e+00,1.779521825924601551e-03
1.000000000000000000e+01,1.587621260539535256e-03
1.100000000000000000e+01,1.423440226890544972e-03
1.200000000000000000e+01,1.268434231144206781e-03
1.300000000000000000e+01,1.112205275044326515e-03
1.400000000000000000e+01,9.354213636272997942e-04
1.500000000000000000e+01,8.339927007431314696e-04
1.600000000000000000e+01,7.400002969777602982e-04
1.700000000000000000e+01,6.549177909167799632e-04
1.800000000000000000e+01,5.698420960199130324e-04
1.900000000000000000e+01,5.050875860155730739e-04
2.000000000000000000e+01,4.503344231208482426e-04
2.100000000000000000e+01,4.023582322521409801e-04
2.200000000000000000e+01,3.619759452640942694e-04
2.300000000000000000e+01,3.213985348056806182e-04
2.400000000000000000e+01,2.901171678430793338e-04
