SNR_dB,RMSE_cfo
-1.000000000000000000e+01,6.729529931501379569e-02
-9.000000000000000000e+00,6.729529931501379569e-02
-8.000000000000000000e+00,6.729529931501378182e-02
-7.000000000000000000e+00,6.729529931501379569e-02
-6.000000000000000000e+00,6.729529931501379569e-02
-5.000000000000000000e+00,6.787594674429264785e-02
-4.000000000000000000e+00,6.708203257631828453e-02
-3.000000000000000000e+00,7.059526808877976400e-02
-2.000000000000000000e+00,7.252071765206845322e-02
-1.000000000000000000e+00,6.299794439055922401e-02
0.000000000000000000e+00,2.097688775664357380e-02
1.000000000000000000e+00,8.079717654255675827e-03
2.000000000000000000e+00,6.182774804344376082e-03
3.000000000000000000e+00,5.264683865394840893e-03
4.000000000000000000e+00,4.473638700648980074e-03
5.000000000000000000e+00,3.978173335781966247e-03
6.000000000000000000e+00,3.540094358836497982e-03
7.000000000000000000e+00,3.137779179839610046e-03
8.000000000000000000e+00,2.804110785071504183e-03
9.000000000000000000e+00,2.529546000054509920e-03
1.000000000000000000e+01,2.209835122229254767e-03
1.100000000000000000e+01,1.963030345443800458e-03
1.200000000000000000e+01,1.729104430235891155e-03
1.300000000000000000e+01,1.547109592137095070e-03
1.400000000000000000e+01,1.377798140263527095e-03
1.500000000000000000e+01,1.227335257253035468e-03
1.600000000000000000e+01,1.093049377108576371e-03
1.700000000000000000e+01,9.741138080587370858e-04
1.800000000000000000e+01,8.505433257778534156e-04
1.900000000000000000e+01,7.619753314786460946e-04
2.000000000000000000e+01,6.790494745891751793e-04
2.100000000000000000e+01,6.052786871437632228e-04
2.200000000000000000e+01,5.396369367834634315e-04
2.300000000000000000e+01,4.812183780937754718e-04
2.400000000000000000e+01,4.292220115985226976e-04
